# BCC_CSM2_MR ssp126 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,0.67,2.08,0.41,2.36,0.39,3.44,0.61,3.18,1.34,2.99,0.95,3.52,1.11,3.52,0.98,2.50,1.26,2.52,1.09,2.59,0.19,2.26,0.93,2.66
Daily maximum near surface air temperature,tasmax,∆°C,1.01,2.57,0.65,3.14,0.61,4.40,0.94,4.34,1.65,4.05,0.96,4.35,1.28,4.31,0.98,3.02,1.37,3.33,1.36,3.24,0.47,2.56,1.31,2.80
Daily minimum near surface air temperature,tasmin,∆°C,0.40,2.24,0.30,2.40,0.29,3.08,0.33,2.47,0.98,2.29,0.93,3.09,0.74,3.13,0.90,2.34,1.08,2.47,0.86,2.95,0.10,2.68,0.69,2.93
Precipitation,pr,fraction,0.85,0.90,0.89,1.00,0.86,0.88,0.81,0.82,0.72,0.86,1.30,1.53,0.61,0.65,0.62,0.69,0.95,1.12,0.95,1.03,0.84,0.87,1.03,1.11
Surface downwelling shortwave radiation,rsds,∆W/m²,5.95,25.43,4.68,31.56,2.85,38.35,10.43,40.47,13.71,29.06,3.38,23.56,9.17,14.56,4.19,12.07,2.68,22.80,9.43,23.25,7.32,19.92,3.50,19.92
Total cloud cover percentage,clt,∆%,-2.04,19.05,-5.15,24.12,-1.39,21.52,-3.12,16.19,-2.03,13.37,0.28,12.17,-2.28,10.87,0.73,12.29,1.97,17.46,-6.13,20.37,-4.83,17.34,-2.10,20.29
Snow depth,snd,fraction,10.00,18352642.00,9.32,727456215630802800000000.00,0.96,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,9.32,62524577808384.00
Near surface specific humidity,huss,∆kg/kg,0.000151,0.001223,-0.000024,0.001414,0.000028,0.001400,0.000169,0.001221,0.000172,0.001171,0.000525,0.001228,0.000326,0.001270,0.000380,0.001369,0.000442,0.001748,0.000200,0.001740,-0.000068,0.001381,0.000313,0.001367
Air pressure at mean sea level,psl,∆hPa,0.61,10.52,-0.03,9.81,0.73,7.03,0.20,5.87,0.47,3.56,-0.68,2.94,0.07,2.74,0.00,2.53,-0.97,3.13,1.18,4.46,0.61,6.70,0.69,9.00
Near surface wind speed,sfcWind,fraction,0.9952,0.4374,1.0489,0.4525,0.9639,0.3776,0.9672,0.3820,0.9826,0.3427,0.9814,0.3425,0.9748,0.3196,1.0186,0.3825,0.9371,0.3953,1.0202,0.3789,0.9556,0.3464,0.9588,0.3782
