# CAS_ESM2_0 ssp245 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.59,2.03,1.83,1.63,1.30,2.23,1.13,2.41,1.94,2.21,1.62,2.44,1.86,1.87,1.68,1.85,1.66,2.22,1.93,2.00,1.76,1.64,1.49,1.64
Daily maximum near surface air temperature,tasmax,∆°C,1.60,2.13,1.90,1.67,1.36,2.33,1.16,2.57,2.01,2.30,1.62,2.48,1.87,1.84,1.65,1.80,1.68,2.28,2.02,2.19,1.74,1.70,1.47,1.65
Daily minimum near surface air temperature,tasmin,∆°C,1.57,1.99,1.80,1.66,1.27,2.18,1.12,2.22,1.87,2.09,1.62,2.42,1.86,1.92,1.72,1.93,1.65,2.09,1.85,1.86,1.78,1.65,1.52,1.69
Precipitation,pr,fraction,1.09,1.13,0.68,0.76,0.83,0.77,1.00,0.91,0.69,0.72,0.92,1.37,1.11,1.87,0.95,1.37,0.69,0.80,0.74,0.74,0.95,0.90,0.82,0.83
Surface downwelling shortwave radiation,rsds,∆W/m²,1.00,30.87,13.52,43.61,9.60,40.60,4.19,40.54,6.85,32.92,-3.43,35.43,0.04,20.04,-0.17,18.27,4.82,26.23,7.12,33.10,2.72,26.81,5.10,26.81
Total cloud cover percentage,clt,∆%,0.80,24.33,-5.11,28.19,-3.81,20.62,0.96,21.95,0.98,14.22,-0.16,15.11,-1.57,7.21,1.21,12.23,-2.05,14.97,-2.86,20.60,-0.42,17.28,-4.29,20.65
Snow depth,snd,fraction,1.00,1.00,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Near surface specific humidity,huss,∆kg/kg,0.000757,0.001291,0.000705,0.001503,0.000604,0.001441,0.000549,0.001547,0.001136,0.001465,0.001334,0.002153,0.001704,0.001966,0.001680,0.002358,0.001242,0.002066,0.001232,0.001648,0.001075,0.001256,0.000608,0.001207
Air pressure at mean sea level,psl,∆hPa,-0.85,8.20,2.20,9.76,0.19,4.93,0.05,3.85,-0.09,1.82,-0.63,1.84,-0.56,1.80,-0.49,1.60,-0.36,1.86,0.43,3.37,0.31,5.48,0.63,8.17
Near surface wind speed,sfcWind,fraction,0.9955,0.4090,0.8999,0.4487,0.9027,0.4071,0.9874,0.3965,1.0368,0.4067,0.9460,0.3903,1.0178,0.4130,1.0333,0.4080,0.9470,0.4157,0.9941,0.4353,0.9499,0.4386,0.9817,0.4823
