# CMCC_ESM2 ssp245 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,2.53,2.28,3.03,2.30,3.21,3.53,3.75,4.42,3.89,4.50,3.85,3.57,3.35,2.80,2.90,2.46,3.97,2.30,3.68,2.44,3.66,2.24,3.04,2.06
Daily maximum near surface air temperature,tasmax,∆°C,2.47,2.39,3.01,2.89,3.56,4.51,3.93,5.34,3.82,5.26,3.93,4.03,3.52,3.11,3.00,2.75,3.88,2.52,3.55,2.84,3.69,2.31,2.94,2.06
Daily minimum near surface air temperature,tasmin,∆°C,2.58,2.44,3.04,2.33,2.90,3.00,3.62,3.72,3.91,3.71,3.82,3.17,3.31,2.52,2.94,2.19,4.06,2.15,3.81,2.26,3.59,2.45,3.11,2.47
Precipitation,pr,fraction,1.05,1.30,0.96,1.22,0.58,0.68,0.65,0.71,0.93,0.96,0.45,0.59,0.69,1.07,0.30,0.54,0.95,1.28,0.73,0.88,0.51,0.56,1.33,1.51
Surface downwelling shortwave radiation,rsds,∆W/m²,2.13,18.72,2.60,29.50,12.59,39.29,9.48,43.01,2.58,37.80,8.03,31.31,-1.37,17.72,2.02,11.67,1.36,19.47,4.55,21.70,6.47,18.89,2.94,18.89
Total cloud cover percentage,clt,∆%,0.27,24.81,-0.80,25.11,-7.04,26.09,-3.53,23.10,-1.92,17.60,-5.00,13.78,-0.21,9.14,-2.73,8.24,-4.12,16.30,-2.00,20.89,-4.19,23.23,-3.56,30.17
Snow depth,snd,fraction,0.80,1.00,0.92,1.00,0.92,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.92,1.00,0.28,1.00
Near surface specific humidity,huss,∆kg/kg,0.001015,0.001362,0.001151,0.001534,0.000405,0.001927,0.000403,0.001752,0.001118,0.001804,0.001076,0.001947,0.002014,0.002179,0.002172,0.001812,0.001852,0.002006,0.001420,0.001587,0.001166,0.001762,0.001354,0.001472
Air pressure at mean sea level,psl,∆hPa,-1.08,5.07,-0.38,6.88,0.73,5.52,-0.76,3.65,-0.41,2.28,-0.15,1.21,-0.66,1.67,-0.93,2.03,-0.84,1.79,-0.19,2.83,0.85,5.12,-1.18,6.13
Near surface wind speed,sfcWind,fraction,1.0104,0.3775,0.9345,0.3715,0.9761,0.3860,1.0077,0.3539,1.0038,0.3380,1.0625,0.3504,1.0335,0.3256,1.0252,0.3279,1.0094,0.3170,0.9660,0.3796,0.9485,0.3578,0.9791,0.3685
