# CNRM_CM6_1_HR ssp370 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.65,2.49,1.76,2.57,1.33,2.51,1.92,3.04,1.90,4.11,3.34,3.98,2.70,3.16,2.17,2.68,3.13,3.01,2.00,2.93,1.70,2.36,1.95,2.24
Daily maximum near surface air temperature,tasmax,∆°C,1.36,2.76,1.85,3.00,1.45,3.19,2.20,4.29,2.01,5.38,3.96,5.17,2.88,3.82,2.35,3.25,3.46,3.86,1.96,3.97,1.83,3.02,1.88,2.39
Daily minimum near surface air temperature,tasmin,∆°C,1.79,2.80,1.63,3.11,1.25,2.85,1.69,2.36,1.83,3.06,2.79,2.98,2.63,2.65,2.07,2.48,2.85,2.61,2.02,2.40,1.66,2.57,2.01,2.66
Precipitation,pr,fraction,1.11,1.10,1.01,0.97,0.96,0.91,0.90,0.83,1.00,1.03,0.29,0.36,0.66,0.92,0.57,0.77,0.48,0.55,0.96,0.85,0.94,0.89,1.10,1.11
Surface downwelling shortwave radiation,rsds,∆W/m²,-4.82,23.92,-0.10,39.08,1.92,41.00,8.72,45.89,4.22,42.70,16.73,37.62,4.01,29.25,6.17,27.07,9.24,28.33,0.75,28.25,2.37,25.34,-1.10,25.34
Total cloud cover percentage,clt,∆%,6.95,23.45,-1.31,31.42,-0.82,24.16,-4.23,21.53,-3.77,16.26,-6.39,12.42,-4.23,16.07,-3.66,17.63,-5.00,19.27,-0.76,18.42,-4.97,24.75,2.90,24.75
Snow depth,snd,fraction,1.17,2.43,5.02,1.67,0.58,0.92,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.88
Near surface specific humidity,huss,∆kg/kg,0.000786,0.001286,0.000622,0.001584,0.000354,0.001508,0.000362,0.001219,0.000545,0.001592,-0.000199,0.001783,0.000793,0.001842,0.000627,0.001925,0.000467,0.001802,0.000736,0.001737,0.000515,0.001722,0.000749,0.001245
Air pressure at mean sea level,psl,∆hPa,0.12,8.71,1.02,9.64,0.47,7.25,0.64,5.13,-0.17,2.96,-0.05,2.24,-0.58,1.70,-0.97,1.80,0.55,2.70,-0.31,4.46,1.02,6.97,0.45,7.30
Near surface wind speed,sfcWind,fraction,1.0364,0.5227,1.0303,0.5268,0.9965,0.4758,0.9353,0.4356,1.0483,0.3817,1.0592,0.3710,1.0306,0.3398,1.0272,0.3615,1.0016,0.3879,0.9860,0.4183,0.9767,0.4115,1.0300,0.5693
