# CNRM_CM6_1 ssp370 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,2.71,2.29,2.00,2.97,1.99,2.39,2.98,3.81,4.42,3.12,4.99,3.28,4.60,2.83,4.41,2.44,4.53,3.07,3.82,3.30,2.42,2.38,2.01,2.88
Daily maximum near surface air temperature,tasmax,∆°C,2.98,2.60,2.21,3.54,2.32,3.39,3.68,5.00,4.99,3.74,5.54,4.00,4.94,3.25,4.68,2.81,4.85,3.80,4.04,4.28,3.06,2.95,2.31,2.76
Daily minimum near surface air temperature,tasmin,∆°C,2.62,2.83,1.80,3.33,1.62,2.42,2.31,3.09,3.92,2.78,4.67,2.74,4.41,2.66,4.35,2.39,4.30,2.72,3.68,2.88,1.94,2.71,1.82,3.43
Precipitation,pr,fraction,0.96,1.04,0.93,1.01,0.82,0.94,0.51,0.52,0.59,0.66,0.58,0.82,0.27,0.40,0.51,0.67,0.65,0.77,0.76,0.75,0.65,0.68,0.85,0.85
Surface downwelling shortwave radiation,rsds,∆W/m²,1.21,31.97,1.53,41.22,6.55,42.80,23.99,39.38,11.36,37.68,12.57,33.77,7.85,26.15,5.22,23.19,8.87,31.31,7.27,29.45,10.52,29.83,3.16,29.83
Total cloud cover percentage,clt,∆%,2.91,33.26,-1.32,30.47,-6.94,29.00,-10.12,18.45,-5.66,17.89,-0.71,17.89,-3.71,15.40,-6.09,18.11,-4.13,21.27,-5.84,25.31,-10.78,29.95,-4.94,28.59
Snow depth,snd,fraction,0.00,0.00,10.00,97426.84,0.10,0.87,1.85,0.96,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.96,1.00,8.78,2700.76,0.00,0.00
Near surface specific humidity,huss,∆kg/kg,0.000901,0.001407,0.000479,0.001680,0.000186,0.001624,-0.000094,0.001571,0.000379,0.001603,0.000784,0.002084,0.001026,0.001666,0.001326,0.001805,0.001057,0.002160,0.001295,0.002050,0.000549,0.001757,0.000631,0.001585
Air pressure at mean sea level,psl,∆hPa,3.01,11.11,2.17,9.83,1.64,7.34,1.85,4.91,0.10,3.37,-0.67,2.10,-0.62,2.14,-0.55,1.88,0.25,2.35,1.35,4.13,2.83,6.26,2.42,7.87
Near surface wind speed,sfcWind,fraction,1.0348,0.5088,1.0157,0.5120,0.9752,0.4499,1.0007,0.4050,1.0546,0.3914,1.1163,0.3758,1.0657,0.3759,1.0530,0.3310,0.9733,0.4092,0.9531,0.3687,0.8908,0.4111,0.9879,0.4754
