# CNRM_ESM2_1 ssp245 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.13,2.68,1.48,2.98,1.73,2.56,2.54,3.41,2.85,4.50,3.73,3.49,3.37,3.09,3.25,2.12,3.38,2.62,2.69,3.16,1.16,2.49,0.91,2.87
Daily maximum near surface air temperature,tasmax,∆°C,1.41,2.46,1.70,3.17,2.00,3.40,3.04,4.58,3.31,5.66,3.94,3.99,3.60,3.47,3.45,2.45,3.43,3.29,2.69,4.09,1.09,2.82,1.11,2.60
Daily minimum near surface air temperature,tasmin,∆°C,0.91,3.42,1.26,3.66,1.59,2.85,2.21,2.91,2.36,3.70,3.69,3.28,3.30,2.86,3.18,2.20,3.49,2.37,2.78,2.76,1.17,2.97,0.83,3.42
Precipitation,pr,fraction,0.73,0.77,0.75,0.73,0.87,0.96,0.72,0.68,0.45,0.44,0.73,0.97,0.36,0.54,0.47,0.68,0.98,1.27,0.80,0.75,0.69,0.66,0.84,0.76
Surface downwelling shortwave radiation,rsds,∆W/m²,1.79,29.75,4.37,36.79,4.60,43.18,13.46,42.08,19.11,42.43,13.11,34.66,6.36,23.75,9.06,29.38,0.57,25.10,4.15,26.53,2.36,28.08,1.33,28.08
Total cloud cover percentage,clt,∆%,-0.01,33.18,-2.49,31.13,-1.92,26.46,-3.21,22.51,-7.49,19.89,-2.93,16.52,1.07,15.85,-6.98,15.79,0.31,17.28,-2.67,22.77,-1.06,26.28,1.09,29.33
Snow depth,snd,fraction,0.00,0.01,0.00,0.00,9.17,305.55,0.00,0.86,0.96,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.96,1.00,0.11,0.15,0.45,1.19
Near surface specific humidity,huss,∆kg/kg,0.000377,0.001482,0.000370,0.001638,0.000216,0.001497,0.000073,0.001457,-0.000435,0.001881,0.000012,0.002202,0.000406,0.001576,0.000802,0.001816,0.001276,0.002128,0.001101,0.001591,0.000467,0.001666,0.000267,0.001602
Air pressure at mean sea level,psl,∆hPa,1.47,10.03,2.25,9.01,0.87,8.11,0.84,4.82,0.71,2.98,-0.30,2.45,-0.44,1.54,-0.40,1.60,0.34,2.23,1.23,3.64,1.04,6.21,1.10,7.48
Near surface wind speed,sfcWind,fraction,0.9441,0.4422,0.9937,0.4807,1.0488,0.5195,1.0747,0.4572,1.0628,0.4556,1.2018,0.5101,1.0449,0.3850,1.0163,0.3532,0.9971,0.3777,0.9925,0.4537,0.9739,0.4197,0.9631,0.4459
