# CanESM5_1 ssp245 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,2.75,2.11,2.43,1.98,1.80,2.97,2.73,2.98,3.63,4.06,4.15,3.38,4.18,2.97,4.30,2.07,4.29,2.34,4.31,2.53,3.51,2.27,3.18,1.91
Daily maximum near surface air temperature,tasmax,∆°C,2.51,2.80,2.26,3.00,1.23,4.04,2.99,4.36,3.90,5.47,4.24,4.28,3.99,3.87,3.99,2.87,4.37,3.11,4.74,3.41,3.91,2.93,3.22,2.00
Daily minimum near surface air temperature,tasmin,∆°C,2.90,2.40,2.62,2.14,2.19,2.59,2.38,2.19,3.35,2.84,4.24,3.00,4.36,2.57,4.27,2.00,4.14,2.09,4.07,2.43,3.27,2.42,3.21,2.48
Precipitation,pr,fraction,1.49,1.76,1.19,1.62,2.51,3.08,1.04,1.18,1.06,1.35,1.81,2.15,0.94,1.17,0.80,1.00,0.73,0.76,0.60,0.64,0.78,0.89,0.94,1.09
Surface downwelling shortwave radiation,rsds,∆W/m²,-2.50,27.59,-1.56,36.11,-10.97,36.14,8.93,40.15,0.65,35.51,4.26,28.86,5.14,21.03,0.73,12.90,3.25,24.98,6.56,25.60,5.11,24.60,2.61,24.60
Total cloud cover percentage,clt,∆%,3.92,29.03,2.63,33.02,7.00,23.96,0.18,21.46,-3.89,19.26,-5.88,12.46,-4.61,13.18,-2.58,10.26,-3.08,19.87,-6.35,22.57,-4.37,26.56,-0.49,29.72
Snow depth,snd,fraction,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Near surface specific humidity,huss,∆kg/kg,0.001335,0.001309,0.000959,0.001318,0.001075,0.001425,0.000805,0.001393,0.001147,0.001472,0.001993,0.002150,0.002162,0.001808,0.002164,0.001644,0.002380,0.001674,0.002064,0.001682,0.001499,0.001521,0.001331,0.001452
Air pressure at mean sea level,psl,∆hPa,-2.99,7.39,-2.85,8.42,-3.88,6.09,-0.83,4.26,-0.51,3.04,-1.35,2.24,-1.31,1.56,-2.36,2.21,-1.13,2.51,0.36,3.27,-0.25,6.08,-1.23,8.04
Near surface wind speed,sfcWind,fraction,1.0283,0.5230,1.0458,0.5093,1.0455,0.4614,0.9470,0.3959,0.9665,0.3615,0.9311,0.4041,0.9660,0.3675,0.9903,0.4040,0.9443,0.3981,0.9272,0.3994,0.9380,0.4516,0.9655,0.5134
