# CanESM5_CanOE ssp126 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.20,2.21,0.78,1.95,1.84,2.68,1.35,3.61,1.21,3.31,2.15,3.41,2.49,2.59,2.27,2.21,2.60,2.31,2.21,2.34,1.75,1.73,1.31,2.07
Daily maximum near surface air temperature,tasmax,∆°C,1.50,2.66,0.90,2.53,2.36,4.00,1.49,5.01,1.17,4.29,2.19,4.19,2.64,3.49,2.36,3.08,2.78,3.42,2.62,3.33,2.29,2.69,1.64,2.12
Daily minimum near surface air temperature,tasmin,∆°C,1.07,2.76,0.71,2.17,1.37,2.12,1.22,2.63,1.30,2.65,2.03,3.02,2.12,2.15,1.82,2.23,2.31,2.27,1.94,2.43,1.51,2.20,1.24,2.74
Precipitation,pr,fraction,1.26,1.67,1.55,2.00,0.68,0.89,1.19,1.26,1.15,1.29,1.00,1.28,0.70,0.85,0.83,1.08,0.83,0.86,0.76,0.89,0.81,0.94,0.80,0.85
Surface downwelling shortwave radiation,rsds,∆W/m²,2.09,28.87,1.30,33.31,8.63,38.60,7.29,33.95,7.44,36.99,7.59,28.86,6.95,20.37,4.97,16.49,6.02,26.56,6.40,31.19,9.41,27.56,5.80,27.56
Total cloud cover percentage,clt,∆%,-3.21,30.86,-0.20,29.94,-0.71,27.57,-1.63,20.67,-0.72,19.36,-2.40,12.79,-2.05,12.33,-2.68,12.85,-2.64,20.09,-4.55,27.11,-6.31,26.82,-5.46,30.45
Snow depth,snd,fraction,0.05,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05,1.00
Near surface specific humidity,huss,∆kg/kg,0.000466,0.001358,0.000298,0.001191,0.000484,0.001257,0.000388,0.001382,0.000620,0.001378,0.000766,0.002092,0.000881,0.002015,0.001048,0.001747,0.001155,0.001974,0.000934,0.001791,0.000623,0.001330,0.000450,0.001291
Air pressure at mean sea level,psl,∆hPa,-0.62,8.44,-2.57,6.72,-1.60,6.99,-0.76,4.51,-0.80,3.12,-0.40,2.31,-0.91,1.77,-0.97,2.28,-0.50,2.35,-0.18,4.74,-0.04,6.40,0.74,7.36
Near surface wind speed,sfcWind,fraction,1.0108,0.5399,1.0353,0.5344,0.8972,0.4002,0.9790,0.4067,1.0323,0.4078,0.9692,0.3990,0.9926,0.3816,0.9722,0.3592,0.9616,0.3976,0.8813,0.3971,0.8798,0.4412,0.9359,0.4586
