# CanESM5 ssp245 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,2.51,2.36,2.49,2.20,2.75,3.11,2.65,2.60,3.19,3.24,4.07,3.51,4.37,2.76,4.61,1.94,4.36,2.19,3.49,2.31,2.96,2.31,2.89,2.06
Daily maximum near surface air temperature,tasmax,∆°C,2.67,2.66,2.39,3.24,2.98,4.81,3.00,3.80,3.27,4.37,4.40,4.61,4.41,3.76,4.42,2.59,4.04,3.00,3.37,3.11,3.04,3.25,3.01,2.59
Daily minimum near surface air temperature,tasmin,∆°C,2.51,2.82,2.59,2.78,2.56,2.18,2.38,1.98,3.12,2.35,3.78,2.79,4.08,2.29,4.44,2.01,4.53,2.23,3.65,2.43,3.08,2.40,2.87,2.44
Precipitation,pr,fraction,0.82,1.06,1.50,1.97,0.89,1.03,0.65,0.77,1.04,1.15,0.75,1.05,0.66,0.84,0.95,1.18,1.22,1.29,1.05,1.10,0.73,0.85,0.91,1.07
Surface downwelling shortwave radiation,rsds,∆W/m²,0.46,31.73,-3.44,44.34,4.67,36.50,9.04,31.43,3.71,37.57,7.09,30.27,-0.98,21.96,-0.86,16.80,-4.26,23.52,-1.27,25.94,4.11,27.28,2.69,27.28
Total cloud cover percentage,clt,∆%,0.84,32.48,3.11,37.27,-1.94,27.71,-6.12,20.98,-1.95,19.22,-5.12,16.59,-0.89,15.79,-1.30,11.50,0.13,20.86,-0.16,20.66,-5.98,28.29,-1.53,28.28
Snow depth,snd,fraction,9.51,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Near surface specific humidity,huss,∆kg/kg,0.001058,0.001565,0.001103,0.001648,0.000763,0.001318,0.000729,0.001324,0.001068,0.001356,0.001247,0.002152,0.001651,0.002073,0.002072,0.001856,0.002798,0.001942,0.002243,0.001795,0.001442,0.001593,0.001196,0.001283
Air pressure at mean sea level,psl,∆hPa,-1.76,8.13,-2.03,9.17,-1.07,7.31,-0.84,3.94,-0.94,2.40,-1.35,2.17,-1.70,1.95,-2.69,1.83,-2.42,2.42,-1.56,3.64,-0.14,5.77,-0.32,8.99
Near surface wind speed,sfcWind,fraction,0.9548,0.4673,1.0032,0.5364,0.9692,0.4026,0.9601,0.4026,0.9726,0.3979,1.0064,0.3879,0.9944,0.4067,0.9935,0.3749,0.9891,0.4178,0.9204,0.4321,0.9186,0.4347,0.9789,0.5422
