# EC_Earth3_Veg_LR ssp585 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,0.99,2.10,1.15,2.33,1.11,2.46,1.65,3.65,3.06,4.57,3.46,4.32,2.12,3.28,2.50,2.55,3.20,3.03,2.62,3.55,2.06,2.54,1.40,2.15
Daily maximum near surface air temperature,tasmax,∆°C,1.58,2.12,1.45,2.83,1.18,3.63,1.94,4.98,3.52,5.74,3.70,4.97,2.15,3.69,2.53,2.78,3.44,3.55,2.68,4.50,2.41,3.57,1.94,2.66
Daily minimum near surface air temperature,tasmin,∆°C,0.69,2.51,0.89,2.73,1.07,1.81,1.30,2.31,2.47,3.20,3.13,3.62,2.17,2.84,2.39,2.31,2.90,2.59,2.47,2.58,1.80,2.32,1.01,2.27
Precipitation,pr,fraction,0.70,0.77,0.76,0.77,1.15,1.17,0.82,0.86,0.61,0.66,0.64,0.78,0.52,0.93,1.43,2.40,0.53,0.69,1.08,1.03,0.69,0.73,0.74,0.78
Surface downwelling shortwave radiation,rsds,∆W/m²,9.47,19.17,9.06,33.14,3.93,36.41,9.52,48.49,15.48,44.72,12.78,29.19,7.94,16.83,3.73,11.95,6.71,18.98,4.38,23.85,6.28,22.16,6.60,22.16
Total cloud cover percentage,clt,∆%,-7.65,25.03,-3.24,31.90,0.83,27.56,-4.81,26.48,-7.06,20.02,-5.81,16.84,-6.40,21.13,-3.50,15.74,-2.58,16.41,-3.31,19.32,-3.42,25.86,-5.36,26.83
Snow depth,snd,fraction,8.10,18.02,0.56,1.28,0.80,1.51,0.97,0.99,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.96,1.00,0.57,1.43
Near surface specific humidity,huss,∆kg/kg,0.000103,0.001080,0.000133,0.001341,0.000163,0.001346,0.000052,0.001547,0.000043,0.001669,-0.000104,0.002047,0.000237,0.001684,0.000541,0.001181,0.000409,0.001758,0.000828,0.002075,0.000769,0.001402,0.000173,0.001148
Air pressure at mean sea level,psl,∆hPa,1.82,8.43,0.79,9.22,0.00,7.20,0.20,5.92,0.18,3.08,-0.67,1.83,-0.93,1.64,-0.99,1.66,-0.36,2.07,-0.27,3.50,0.76,6.34,1.20,7.76
Near surface wind speed,sfcWind,fraction,0.9280,0.4021,0.9446,0.4197,1.0121,0.4034,0.9710,0.3596,0.9746,0.3268,0.9993,0.3257,1.0248,0.2694,0.9971,0.2865,1.0078,0.3120,0.9597,0.3683,0.9074,0.3693,0.9238,0.3932
