# EC_Earth3_Veg ssp585 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,2.24,2.53,1.71,2.62,1.86,3.14,2.12,4.19,2.57,4.77,3.46,4.26,2.44,3.54,2.73,2.65,2.81,3.44,3.81,3.12,2.61,2.52,1.89,2.59
Daily maximum near surface air temperature,tasmax,∆°C,2.65,2.82,2.26,3.71,2.06,4.43,2.43,5.36,2.70,5.89,3.66,4.92,2.47,3.97,2.80,2.99,2.77,4.03,4.14,3.85,2.41,3.43,1.90,2.64
Daily minimum near surface air temperature,tasmin,∆°C,1.94,2.96,1.15,2.44,1.61,2.12,1.73,3.00,2.43,3.54,3.21,3.60,2.52,3.11,2.70,2.35,2.88,2.92,3.33,2.50,2.68,2.45,1.83,3.10
Precipitation,pr,fraction,0.87,0.95,0.79,0.84,0.86,0.90,0.78,0.77,0.96,1.00,0.34,0.43,0.39,0.63,1.41,2.91,0.50,0.70,0.65,0.66,1.04,1.16,0.88,0.90
Surface downwelling shortwave radiation,rsds,∆W/m²,7.65,20.69,12.33,28.95,8.32,38.54,15.74,38.47,11.07,43.65,14.04,27.48,6.08,15.01,2.96,13.88,4.47,19.90,9.71,24.08,-0.09,21.46,2.93,21.46
Total cloud cover percentage,clt,∆%,-3.09,29.72,-6.95,30.72,-3.38,25.25,-7.01,22.31,-4.86,17.23,-5.60,17.56,-2.96,15.01,-2.50,15.60,-3.72,20.45,-5.62,21.93,0.31,26.22,-2.57,24.76
Snow depth,snd,fraction,0.02,0.27,0.11,0.25,0.34,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.46
Near surface specific humidity,huss,∆kg/kg,0.000586,0.001294,0.000156,0.001417,0.000144,0.001566,0.000073,0.001528,0.000396,0.001902,-0.000095,0.001984,0.000640,0.001721,0.000711,0.001636,0.000930,0.001859,0.000835,0.001872,0.000947,0.001698,0.000736,0.001389
Air pressure at mean sea level,psl,∆hPa,1.52,7.41,1.78,7.63,0.43,6.73,1.12,4.74,-0.57,2.83,-0.01,2.09,-0.94,1.96,-1.27,1.48,-0.50,2.12,0.96,4.33,-0.71,6.04,0.41,6.98
Near surface wind speed,sfcWind,fraction,0.9444,0.4179,0.9841,0.4139,1.0141,0.4189,0.9550,0.3837,1.0041,0.4136,1.0552,0.3858,1.0570,0.2976,0.9992,0.2770,1.0028,0.3126,0.8954,0.3360,0.9736,0.3694,0.9851,0.4567
