# EC_Earth3 ssp370 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,2.44,2.60,3.62,2.59,3.56,3.25,5.40,4.12,6.02,5.01,5.98,4.58,5.58,3.36,4.21,2.79,5.10,3.53,4.80,3.39,3.82,2.85,3.02,2.55
Daily maximum near surface air temperature,tasmax,∆°C,2.33,2.44,3.65,3.16,3.92,4.63,6.13,5.43,6.66,6.14,6.29,5.37,5.93,3.83,4.26,3.02,5.31,4.02,4.87,3.92,3.92,3.73,3.16,3.14
Daily minimum near surface air temperature,tasmin,∆°C,2.53,3.18,3.63,2.77,3.19,2.31,4.70,2.92,5.34,3.79,5.79,3.89,5.31,2.85,4.39,2.58,5.06,3.27,4.66,3.23,3.82,2.53,2.92,2.73
Precipitation,pr,fraction,1.17,1.37,1.18,1.25,0.65,0.70,0.54,0.59,0.54,0.63,0.50,0.65,0.24,0.41,0.49,0.90,0.35,0.51,0.75,0.86,0.79,0.85,0.74,0.81
Surface downwelling shortwave radiation,rsds,∆W/m²,1.23,23.61,0.96,27.48,16.08,43.20,23.18,43.91,24.55,39.12,15.68,31.64,5.98,17.62,1.45,12.47,5.07,17.83,8.32,26.14,5.55,19.56,5.60,19.56
Total cloud cover percentage,clt,∆%,-0.94,27.80,3.79,27.86,-7.88,31.35,-9.76,26.35,-12.74,18.56,-7.55,18.47,-4.45,16.54,-6.04,15.04,-10.59,19.55,-10.73,23.00,-8.53,23.56,-3.83,23.66
Snow depth,snd,fraction,0.02,0.38,0.00,0.22,0.00,1.00,0.10,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.46,1.00,0.10,0.36
Near surface specific humidity,huss,∆kg/kg,0.000874,0.001503,0.001268,0.001505,0.000871,0.001792,0.000607,0.001728,0.000490,0.001474,0.000874,0.001944,0.001152,0.001427,0.001818,0.001602,0.001741,0.002091,0.001746,0.002399,0.001434,0.001602,0.000893,0.001369
Air pressure at mean sea level,psl,∆hPa,-1.06,8.23,-0.08,8.08,1.67,7.42,0.96,4.16,-0.45,2.91,-0.72,1.72,-1.39,1.57,-2.23,1.79,-0.54,1.86,0.70,3.31,0.73,5.47,-0.21,6.46
Near surface wind speed,sfcWind,fraction,0.9636,0.4381,0.9803,0.4199,0.9299,0.3763,0.9732,0.3693,0.9769,0.3652,1.0335,0.3722,1.0143,0.2902,0.9650,0.2476,0.9634,0.3266,0.9078,0.3432,0.9609,0.3932,0.9397,0.4123
