# Ensemble ssp370 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.49,0.40,1.49,0.50,1.44,0.48,1.88,0.62,2.49,0.64,2.72,0.86,2.57,0.83,2.56,0.75,2.51,0.69,2.30,0.61,1.77,0.59,1.60,0.51
Daily maximum near surface air temperature,tasmax,∆°C,1.63,0.43,1.61,0.44,1.55,0.53,2.14,0.77,2.78,0.81,2.92,1.00,2.67,0.82,2.62,0.72,2.61,0.74,2.43,0.67,1.92,0.64,1.71,0.48
Daily minimum near surface air temperature,tasmin,∆°C,1.41,0.45,1.40,0.60,1.34,0.52,1.62,0.60,2.18,0.59,2.53,0.77,2.49,0.80,2.49,0.72,2.42,0.69,2.19,0.60,1.68,0.61,1.56,0.57
Precipitation,pr,fraction,0.97,0.19,0.92,0.18,0.94,0.21,0.79,0.13,0.73,0.17,0.78,0.23,0.73,0.31,0.85,0.53,0.73,0.22,0.82,0.19,0.84,0.20,0.95,0.16
Surface downwelling shortwave radiation,rsds,∆W/m²,2.10,3.60,3.19,4.52,3.66,5.40,9.48,6.16,8.74,7.99,5.43,5.99,1.69,4.83,1.15,3.73,3.13,4.54,3.25,3.89,3.32,3.15,2.22,3.15
Total cloud cover percentage,clt,∆%,-1.10,4.24,-1.83,3.60,-1.75,3.03,-4.97,2.61,-4.95,3.09,-3.41,2.19,-2.44,2.33,-2.83,2.19,-3.80,2.77,-3.81,3.33,-3.32,3.36,-2.05,3.86
Snow depth,snd,fraction,1.73,2.90,1.95,2.76,1.55,2.06,0.89,0.32,0.99,0.03,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.04,1.27,1.79,0.81,0.68
Near surface specific humidity,huss,∆kg/kg,0.000554,0.000234,0.000424,0.000260,0.000362,0.000255,0.000334,0.000287,0.000407,0.000411,0.000524,0.000468,0.000841,0.000446,0.000982,0.000432,0.000948,0.000556,0.000884,0.000448,0.000653,0.000336,0.000598,0.000301
Air pressure at mean sea level,psl,∆hPa,0.01,1.24,0.20,1.12,0.04,1.22,0.27,0.98,-0.25,0.43,-0.68,0.39,-0.81,0.48,-1.07,0.76,-0.57,0.60,0.08,0.71,0.23,0.85,0.11,1.19
Near surface wind speed,sfcWind,fraction,0.9729,0.0396,0.9875,0.0391,0.9829,0.0387,0.9785,0.0404,0.9943,0.0376,1.0048,0.0527,1.0122,0.0337,1.0008,0.0352,0.9853,0.0367,0.9664,0.0428,0.9522,0.0452,0.9757,0.0477
