# Monthly average difference between variables of two EPW files (last EPW variables minus the first EPW variables).
Variable,Unit,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ground Temperatures,∆°C,depth 0.5 m,4.36,4.09,3.65,3.58,3.74,4.03,4.55,4.99,5.26,5.36,5.23,4.83
Ground Temperatures,∆°C,depth 2.0 m,4.55,4.35,3.96,3.58,3.85,4.01,4.36,4.71,4.97,5.12,5.10,4.88
Ground Temperatures,∆°C,depth 4.0 m,4.63,4.51,4.19,3.75,4.02,4.08,4.29,4.53,4.72,4.89,4.92,4.82
N6 Dry Bulb Temperature,∆°C,-,3.1393,3.2437,3.4057,4.1899,5.1509,5.7231,5.3330,5.2884,5.5831,5.1390,4.0596,3.3357
N7 Dew Point Temperature,∆°C,-,2.3550,1.6966,2.0074,1.8307,1.9491,2.4552,2.4332,2.8494,3.5912,2.6507,2.6659,2.2011
N8 Relative Humidity,∆%,-,-1.3814,-4.8496,-4.3643,-7.3059,-9.2890,-8.3972,-7.6357,-6.5261,-4.7742,-7.9805,-3.7610,-2.3843
N9 Atmospheric Station Pressure,∆Pa,-,50.5737,54.5893,37.5830,35.0963,-56.5430,-114.5118,-154.2981,-190.6815,-114.6515,14.4771,52.7894,71.2428
N10 Extraterrestrial Horizontal Radiation,∆Wh/m²,-,0.7908,1.8247,2.2477,2.1791,1.3325,0.1609,0.2054,0.8125,1.1558,-1.5173,-1.2050,-0.2337
N11 Extraterrestrial Direct Normal Radiation,∆Wh/m²,-,-839.4739,-779.4841,-701.0877,-620.6866,-555.0066,-521.9962,-534.7519,-586.9283,-659.5240,-739.3381,-813.8645,-855.6825
N12 Horizontal Infrared Radiation Intensity,∆Wh/m²,-,23.3709,31.7914,25.7637,22.5069,28.7388,30.1534,38.2841,31.7733,30.8187,40.7411,25.6904,30.0198
N13 Global Horizontal Radiation,∆Wh/m²,-,4.1076,5.9884,8.2047,15.5797,13.0335,7.5917,3.0560,2.4110,4.0016,7.0585,6.1064,4.3103
N14 Direct Normal Radiation,∆Wh/m²,-,-11.3732,-4.3939,8.5931,24.5363,21.2735,13.2321,-8.9218,-4.4577,5.1987,8.4444,3.2104,-3.2794
N15 Diffuse Horizontal Radiation,∆Wh/m²,-,8.3357,7.2239,1.6301,-2.0041,-6.3599,-6.4219,5.1265,2.0889,-2.6267,1.9115,5.7711,5.2106
N16 Global Horizontal Illuminance,∆lux,-,360.4455,610.5917,976.2525,1670.4598,1500.6124,638.5995,530.1673,491.0844,479.5688,853.4733,602.0748,431.9221
N17 Direct Normal Illuminance,∆lux,-,-1296.3984,-645.0285,796.3989,2413.3672,2433.8519,1703.5051,-939.2389,-404.6095,752.4928,696.9742,-35.5928,-415.2662
N18 Diffuse Horizontal Illuminance,∆lux,-,-5190.8602,-7170.0893,-9021.2366,-12295.5556,-12514.7849,-13466.5278,-11465.8602,-10804.8387,-10334.3056,-8234.8118,-5771.9444,-5048.1183
N19 Zenith Luminance,∆Cd/m²,-,165.0393,178.2904,91.6071,-46.3732,-340.8923,-603.9205,152.4001,59.4775,-113.7848,63.9699,113.9286,121.0988
N21 Wind Speed,∆m/s,-,-0.0870,-0.0731,-0.0579,-0.0475,0.0349,0.0704,0.0805,0.0537,-0.0448,-0.1258,-0.1976,-0.1349
N22 Total Sky Cover,∆deca,-,0.0000,0.0000,-0.0860,-1.0000,-1.0000,-1.0000,-0.1411,-1.0000,-1.0000,-1.0000,-1.0000,-0.0901
N23 Opaque Sky Cover,∆deca,-,0.0000,0.0000,-0.0860,-0.6778,-0.6331,-0.8167,-0.1371,-0.8185,-0.7847,-0.6371,-0.6806,-0.0699
N30 Snow Depth,∆cm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N33 Liquid Precipitation Depth,∆mm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
