# GFDL_ESM4 ssp126 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,0.03,2.84,0.65,2.41,1.35,2.88,1.74,3.02,1.54,3.85,2.46,3.52,1.99,3.29,1.60,2.12,1.36,2.87,0.73,2.84,0.53,2.69,1.32,2.71
Daily maximum near surface air temperature,tasmax,∆°C,0.39,2.59,1.24,2.83,1.77,3.32,2.23,3.72,1.94,4.52,2.79,4.20,2.11,3.57,1.60,2.39,1.32,3.40,0.85,3.61,0.77,2.74,1.27,2.29
Daily minimum near surface air temperature,tasmin,∆°C,-0.23,3.26,0.18,2.41,0.98,3.03,1.29,2.52,1.05,3.14,2.18,2.81,1.94,3.07,1.54,1.93,1.39,2.41,0.58,2.38,0.30,3.08,1.23,3.35
Precipitation,pr,fraction,0.74,0.69,0.79,0.81,0.93,0.92,0.88,0.81,0.83,0.86,0.76,0.88,0.69,0.89,1.60,2.54,0.92,1.16,0.86,0.83,0.93,0.93,1.30,1.35
Surface downwelling shortwave radiation,rsds,∆W/m²,4.87,24.62,12.65,24.38,5.86,38.62,13.55,40.01,13.27,38.74,3.96,36.54,-0.81,26.52,-1.02,22.99,1.80,22.61,5.54,29.56,4.56,27.13,-1.78,27.13
Total cloud cover percentage,clt,∆%,-5.86,29.40,-8.03,24.53,-1.01,28.88,-4.59,21.17,-4.77,21.74,-1.09,18.58,1.02,15.98,1.56,17.91,-0.56,16.57,-2.31,23.93,-2.81,26.37,6.28,24.21
Snow depth,snd,fraction,0.00,0.07,0.09,0.22,4.21,11.26,0.39,0.99,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.14,0.95,0.02,0.13
Near surface specific humidity,huss,∆kg/kg,-0.000091,0.001476,-0.000020,0.001059,0.000238,0.001431,0.000170,0.001222,0.000003,0.001279,0.000379,0.001755,0.000445,0.001684,0.000348,0.001817,0.000512,0.001840,0.000015,0.001962,-0.000001,0.001614,0.000677,0.001385
Air pressure at mean sea level,psl,∆hPa,2.22,7.63,2.56,7.15,-0.17,6.75,0.69,5.08,-0.05,2.94,-0.22,2.33,-0.44,1.36,-0.73,1.40,0.33,2.23,0.52,4.43,-0.25,8.06,-1.51,8.32
Near surface wind speed,sfcWind,fraction,0.9411,0.4164,0.9627,0.4101,0.9852,0.4105,0.9882,0.3882,0.9953,0.3431,0.9992,0.3549,1.0330,0.3425,0.9728,0.3051,1.0010,0.3576,0.9805,0.3889,0.9774,0.4647,1.0191,0.4935
