# GISS_E2_1_G ssp126 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.47,2.17,0.77,2.65,1.11,2.95,1.73,2.96,1.74,3.74,1.76,3.39,2.46,2.25,2.52,3.12,2.56,2.69,2.03,3.57,2.04,2.44,1.26,2.30
Daily maximum near surface air temperature,tasmax,∆°C,1.56,2.32,0.60,2.97,1.25,3.62,1.88,3.47,1.52,4.13,1.81,3.70,2.42,2.32,2.47,3.38,2.48,2.85,2.10,3.68,2.33,2.78,1.44,2.42
Daily minimum near surface air temperature,tasmin,∆°C,1.42,2.52,0.86,3.11,0.85,2.74,1.56,2.78,1.98,3.62,1.62,3.27,2.53,2.46,2.45,3.06,2.56,2.70,1.94,3.73,1.84,2.58,1.05,2.62
Precipitation,pr,fraction,1.05,1.02,1.30,1.36,0.96,0.99,0.76,0.76,1.21,1.27,0.77,0.89,0.66,0.85,0.51,0.57,0.80,0.88,0.95,0.94,0.96,1.00,0.93,0.95
Surface downwelling shortwave radiation,rsds,∆W/m²,5.58,20.44,-0.70,31.90,9.02,37.19,12.27,39.79,-5.01,37.76,5.36,37.79,1.47,24.91,6.67,24.23,7.97,32.04,5.09,27.51,6.34,22.55,2.70,22.55
Total cloud cover percentage,clt,∆%,-4.28,18.14,-1.40,23.97,-7.72,21.04,-7.73,20.26,-1.33,18.60,-4.05,18.80,-1.66,14.86,-5.63,14.61,-6.38,21.42,-2.82,22.15,-6.41,19.13,-5.07,17.59
Snow depth,snd,fraction,0.94,0.96,0.93,0.94,0.97,1.04,0.95,1.03,0.91,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.91,1.00,0.91,0.91,0.92,0.93
Near surface specific humidity,huss,∆kg/kg,0.000649,0.001169,0.000426,0.001478,0.000338,0.001266,0.000417,0.001095,0.000947,0.001499,0.000636,0.001845,0.001215,0.001809,0.001029,0.001754,0.001256,0.001775,0.001191,0.002328,0.000995,0.001318,0.000595,0.001219
Air pressure at mean sea level,psl,∆hPa,0.29,8.67,-1.04,7.56,-0.24,6.24,0.10,4.03,-0.71,2.34,-0.41,2.18,-0.62,1.79,-0.55,1.53,-0.38,2.30,-0.78,3.41,0.54,6.12,0.45,7.10
Near surface wind speed,sfcWind,fraction,1.0244,0.4101,1.0337,0.4306,0.9612,0.3408,1.0305,0.3699,1.0213,0.3440,1.0226,0.3594,0.9746,0.3184,1.0055,0.3466,1.0141,0.4046,0.9570,0.4256,0.9938,0.3954,0.9678,0.4047
