# GISS_E2_1_H ssp126 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,0.88,1.96,1.35,2.15,1.20,2.24,1.60,3.27,0.97,3.30,1.86,3.38,1.82,2.45,2.75,2.29,1.79,2.93,2.09,2.67,1.65,2.60,1.11,2.19
Daily maximum near surface air temperature,tasmax,∆°C,1.07,2.05,1.40,2.40,1.14,2.64,1.60,3.85,0.83,3.61,1.86,3.70,1.78,2.51,2.78,2.45,1.72,3.12,1.94,2.86,1.63,2.63,1.20,2.15
Daily minimum near surface air temperature,tasmin,∆°C,0.73,2.45,1.33,2.59,1.19,2.44,1.48,2.91,1.05,3.23,1.85,3.30,1.86,2.70,2.79,2.40,1.78,2.97,2.24,2.75,1.65,2.84,1.12,2.60
Precipitation,pr,fraction,0.90,0.86,0.87,0.85,1.02,0.95,0.92,1.01,1.44,1.56,0.92,0.94,0.96,1.14,0.79,0.95,0.71,0.80,0.81,0.82,0.99,0.97,0.91,0.89
Surface downwelling shortwave radiation,rsds,∆W/m²,6.79,25.00,1.44,36.04,3.51,38.03,7.18,42.32,-0.74,29.85,6.76,31.88,2.25,23.24,1.83,23.20,6.47,31.36,0.15,32.82,-0.16,21.76,4.53,21.76
Total cloud cover percentage,clt,∆%,-7.20,21.74,-1.65,24.83,-4.51,22.39,-4.49,22.94,-3.11,14.95,-4.11,15.90,-2.55,13.07,-3.90,14.45,-5.48,19.24,-2.25,23.25,-0.26,18.69,-3.23,18.36
Snow depth,snd,fraction,0.14,1.09,1.01,1.13,0.94,0.98,0.92,0.94,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.92,0.94,0.94,0.96
Near surface specific humidity,huss,∆kg/kg,0.000309,0.001241,0.000647,0.001381,0.000464,0.001208,0.000566,0.001054,0.000698,0.001364,0.000882,0.001545,0.001053,0.001783,0.001111,0.001493,0.000938,0.001684,0.001147,0.001781,0.000947,0.001611,0.000450,0.001345
Air pressure at mean sea level,psl,∆hPa,0.49,7.87,-0.45,7.35,-0.23,6.07,-0.01,3.96,-0.94,2.84,-0.63,2.01,-0.89,1.95,-0.94,1.97,-0.78,2.31,0.20,3.91,-0.31,5.33,-0.18,7.07
Near surface wind speed,sfcWind,fraction,0.9792,0.4215,0.9487,0.4041,1.0201,0.4053,1.0200,0.4040,0.9758,0.3811,0.9755,0.3513,0.9942,0.3397,0.9793,0.3504,0.9548,0.3905,1.0326,0.4389,0.9849,0.4071,0.9912,0.4019
