# IPSL_CM6A_LR ssp370 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,2.74,2.49,2.58,2.48,2.34,2.56,3.63,3.45,3.90,3.50,3.63,3.16,3.54,3.37,4.31,2.83,4.51,2.81,3.81,2.37,3.66,2.20,2.81,2.18
Daily maximum near surface air temperature,tasmax,∆°C,3.29,3.11,3.14,3.64,2.82,3.67,4.60,4.65,4.57,4.73,3.88,4.03,3.87,3.90,4.79,3.23,4.86,3.19,4.15,3.11,4.72,3.18,3.44,2.56
Daily minimum near surface air temperature,tasmin,∆°C,2.43,2.53,2.21,2.16,2.00,2.14,2.69,2.45,3.27,2.52,3.52,2.59,3.42,3.09,3.99,2.71,4.33,2.66,3.60,2.23,2.95,2.15,2.46,2.59
Precipitation,pr,fraction,0.80,0.81,0.69,0.80,1.00,1.23,0.35,0.38,0.49,0.59,1.00,1.44,0.40,0.67,0.44,0.57,0.27,0.39,0.52,0.74,0.24,0.30,0.42,0.51
Surface downwelling shortwave radiation,rsds,∆W/m²,3.17,25.76,11.13,38.59,9.39,44.18,30.69,48.11,17.97,54.08,1.42,35.83,-3.06,19.35,-6.08,13.84,2.78,25.44,8.20,32.47,18.51,27.79,9.04,27.79
Total cloud cover percentage,clt,∆%,-7.96,22.44,-12.12,31.03,-9.67,25.44,-18.83,26.01,-12.92,24.94,-6.30,17.32,-3.98,10.40,-2.50,7.24,-8.40,14.23,-10.98,23.64,-21.46,26.21,-12.90,29.72
Snow depth,snd,fraction,0.15,0.50,0.49,0.64,4.13,24.83,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.61,0.64
Near surface specific humidity,huss,∆kg/kg,0.000983,0.001169,0.000732,0.001080,0.000504,0.001190,0.000397,0.001024,0.000618,0.001163,0.001181,0.001723,0.001220,0.002115,0.001729,0.001797,0.001979,0.001618,0.001532,0.001772,0.000930,0.001339,0.000942,0.001441
Air pressure at mean sea level,psl,∆hPa,0.10,8.77,1.30,8.66,-1.00,7.73,2.54,4.95,-0.78,3.77,-1.93,1.98,-1.75,2.12,-2.21,2.10,-1.96,2.04,-0.43,4.03,2.35,6.52,2.29,8.03
Near surface wind speed,sfcWind,fraction,0.9699,0.4515,0.9518,0.4756,0.8932,0.4291,0.8151,0.4006,0.9589,0.3629,0.9613,0.3958,1.0099,0.4451,0.9531,0.4030,0.9355,0.4009,0.9560,0.4628,0.8764,0.4372,0.9089,0.4566
