# MIROC6 ssp245 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.34,2.21,1.11,2.37,1.98,2.71,2.29,3.50,1.71,4.44,2.09,4.18,1.96,3.03,1.53,2.74,2.71,3.10,2.01,3.01,1.01,2.56,0.43,2.34
Daily maximum near surface air temperature,tasmax,∆°C,1.57,2.33,1.42,3.02,2.59,4.21,3.10,5.24,2.16,6.10,2.63,5.10,2.29,3.39,1.87,3.14,3.26,3.82,2.41,4.41,1.05,3.45,0.60,2.36
Daily minimum near surface air temperature,tasmin,∆°C,1.22,2.63,0.89,2.50,1.47,2.02,1.59,2.32,1.36,3.09,1.73,3.38,1.70,2.70,1.36,2.51,2.35,2.68,1.73,2.24,1.01,2.29,0.35,2.68
Precipitation,pr,fraction,0.79,0.88,0.90,1.00,0.80,0.78,0.68,0.66,0.97,1.04,0.70,0.93,0.92,1.12,0.68,0.85,0.62,0.72,0.86,0.89,1.17,1.22,0.94,0.92
Surface downwelling shortwave radiation,rsds,∆W/m²,2.92,31.61,4.32,39.15,7.67,41.99,15.42,46.38,4.47,38.90,6.86,24.50,3.98,29.12,5.81,25.95,5.96,19.81,5.31,30.29,-0.70,21.49,1.96,21.49
Total cloud cover percentage,clt,∆%,-0.51,29.05,-1.46,27.35,-3.62,21.63,-6.88,19.75,-0.39,14.61,-0.97,9.67,-2.53,12.70,-3.39,11.07,-3.91,9.45,-3.13,18.55,-0.31,19.30,-1.37,22.09
Snow depth,snd,fraction,0.86,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.89,1.00
Near surface specific humidity,huss,∆kg/kg,0.000578,0.001482,0.000077,0.001737,0.000360,0.001667,-0.000083,0.001698,0.000215,0.001347,0.000172,0.001352,0.000251,0.001675,0.000650,0.001824,0.000567,0.001917,0.000122,0.001911,0.000437,0.001544,-0.000016,0.001591
Air pressure at mean sea level,psl,∆hPa,1.85,7.87,0.79,7.24,0.62,4.57,0.15,3.46,-0.64,2.09,-0.48,1.77,-0.40,1.83,-0.66,1.62,-0.38,1.80,-0.12,3.08,-0.66,5.17,0.39,6.76
Near surface wind speed,sfcWind,fraction,0.8945,0.3830,1.0289,0.4342,0.9788,0.4056,1.0076,0.3779,1.0294,0.3286,1.0469,0.3840,1.0681,0.4214,1.0934,0.3879,1.0241,0.3569,1.0019,0.4081,0.9459,0.4181,0.9511,0.4069
