# MIROC_ES2H ssp585 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,2.99,2.21,3.14,2.60,2.84,3.15,4.73,3.73,5.47,4.13,6.77,4.26,6.13,4.24,5.18,2.84,6.18,3.17,4.65,3.64,3.95,2.92,2.60,2.56
Daily maximum near surface air temperature,tasmax,∆°C,3.11,2.41,3.87,3.33,3.32,4.60,6.02,5.64,6.88,5.85,7.83,5.33,6.77,4.85,5.67,3.25,7.35,4.07,5.36,5.40,4.88,3.95,3.01,2.73
Daily minimum near surface air temperature,tasmin,∆°C,3.00,2.40,2.65,2.63,2.45,2.64,3.72,2.49,4.34,2.89,5.87,3.41,5.56,3.70,4.80,2.56,5.32,2.60,4.16,2.75,3.39,2.57,2.38,2.82
Precipitation,pr,fraction,0.95,0.95,0.69,0.74,0.87,0.87,0.65,0.60,0.45,0.50,0.39,0.59,0.58,0.72,0.40,0.51,0.27,0.34,0.80,0.91,0.71,0.73,0.89,0.85
Surface downwelling shortwave radiation,rsds,∆W/m²,-0.89,24.47,10.80,37.72,5.55,46.19,18.13,46.08,21.45,47.10,10.90,37.23,1.60,26.31,2.24,21.40,16.09,21.19,7.73,34.58,11.23,24.37,5.50,24.37
Total cloud cover percentage,clt,∆%,-0.36,21.59,-7.79,27.34,-3.19,24.63,-8.39,19.19,-8.55,15.52,-4.59,13.83,-3.03,10.70,-5.22,8.77,-12.36,11.05,-6.89,22.64,-10.61,20.92,-5.88,22.64
Snow depth,snd,fraction,0.90,1.00,0.09,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.90,1.00
Near surface specific humidity,huss,∆kg/kg,0.000954,0.001289,0.000469,0.001668,0.000425,0.001881,0.000410,0.001685,0.000394,0.001870,0.000440,0.002252,0.000664,0.001817,0.000888,0.001801,0.000741,0.001842,0.000637,0.002205,0.000462,0.001549,0.000588,0.001686
Air pressure at mean sea level,psl,∆hPa,0.46,6.95,2.10,8.37,-0.13,5.23,0.45,3.57,-0.29,2.26,-0.85,1.96,-0.78,1.76,-0.99,1.18,-0.92,1.65,-0.06,3.17,1.77,5.27,1.25,7.05
Near surface wind speed,sfcWind,fraction,0.9893,0.4371,0.9969,0.4392,0.9836,0.4031,1.0001,0.3839,1.0704,0.3928,1.0970,0.4149,1.0676,0.4085,1.0898,0.3640,1.0185,0.3561,0.9990,0.3864,1.0103,0.4417,0.9725,0.4296
