# MIROC_ES2L ssp370 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,0.99,2.53,1.42,2.35,0.84,2.37,1.48,2.66,2.51,3.88,1.93,3.96,2.22,2.75,1.63,2.90,1.86,3.30,1.82,2.39,1.85,2.32,1.83,3.12
Daily maximum near surface air temperature,tasmax,∆°C,1.34,2.50,1.59,2.64,0.93,3.25,1.73,3.71,3.08,5.06,2.03,4.81,2.31,3.24,1.64,3.47,2.06,4.02,2.01,3.20,2.07,2.73,1.92,3.08
Daily minimum near surface air temperature,tasmin,∆°C,0.76,3.10,1.33,2.86,0.73,2.19,1.22,1.89,1.83,2.76,1.80,3.07,2.16,2.20,1.69,2.36,1.70,2.76,1.68,2.02,1.73,2.76,1.84,3.65
Precipitation,pr,fraction,0.90,0.72,1.07,0.96,1.04,0.82,0.90,0.75,0.65,0.69,0.94,1.22,1.17,1.60,0.93,1.09,0.55,0.63,0.88,0.78,0.89,0.80,0.93,0.86
Surface downwelling shortwave radiation,rsds,∆W/m²,6.81,21.45,0.32,34.04,3.25,36.52,2.98,35.07,13.37,40.36,3.43,27.83,-7.16,25.93,-5.63,31.91,9.06,23.32,0.76,24.13,1.31,26.33,0.98,26.33
Total cloud cover percentage,clt,∆%,-4.94,20.69,-1.92,23.65,-1.84,21.00,-2.76,15.82,-8.01,19.82,-1.55,12.40,0.01,9.13,-0.03,12.36,-6.57,11.08,-1.97,15.92,-2.71,23.08,-1.05,25.22
Snow depth,snd,fraction,0.99,1.00,0.04,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.99,1.00
Near surface specific humidity,huss,∆kg/kg,0.000274,0.001496,0.000540,0.001630,0.000220,0.001493,0.000400,0.001344,0.000329,0.001557,0.000336,0.001769,0.001000,0.001607,0.000787,0.001419,0.000399,0.001538,0.000738,0.001576,0.000775,0.001825,0.000731,0.001677
Air pressure at mean sea level,psl,∆hPa,0.84,7.71,-0.55,8.65,0.01,6.59,0.08,4.16,0.20,2.95,-0.72,1.96,-0.59,1.92,-0.21,1.65,-0.61,2.09,0.02,2.97,-0.39,6.21,-0.26,8.55
Near surface wind speed,sfcWind,fraction,0.9146,0.4632,0.9696,0.4186,0.9786,0.3797,1.0228,0.3566,0.9932,0.3859,1.0008,0.3885,0.9837,0.3654,0.9979,0.4224,1.0350,0.3893,0.9447,0.3591,0.9572,0.4726,0.9695,0.5182
