# MRI_ESM2_0 ssp585 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.33,3.18,1.74,2.95,1.71,3.11,1.10,2.61,2.52,3.79,3.78,3.27,3.92,4.52,3.68,3.18,2.99,3.23,2.37,3.41,1.52,2.44,1.91,2.47
Daily maximum near surface air temperature,tasmax,∆°C,1.57,2.93,1.67,3.33,2.05,4.04,1.24,3.22,3.00,4.93,4.20,4.24,4.34,5.67,4.06,4.17,3.42,4.02,2.48,4.62,1.70,2.89,1.97,2.45
Daily minimum near surface air temperature,tasmin,∆°C,1.19,3.46,1.90,3.17,1.41,2.95,0.99,2.45,2.06,2.80,3.44,2.45,3.52,3.52,3.22,2.36,2.55,2.75,2.25,2.81,1.38,2.48,1.84,2.84
Precipitation,pr,fraction,1.00,1.08,0.90,1.13,0.57,0.73,0.75,0.76,0.60,0.69,0.80,0.85,0.88,1.14,0.41,0.58,0.51,0.63,0.72,0.80,0.91,0.96,1.19,1.22
Surface downwelling shortwave radiation,rsds,∆W/m²,3.47,30.69,-5.42,39.55,8.38,50.41,6.40,39.36,12.15,45.79,5.27,34.00,1.95,20.14,5.67,18.12,6.05,24.15,-0.33,29.60,3.56,27.51,-1.30,27.51
Total cloud cover percentage,clt,∆%,-0.26,33.24,7.60,34.16,-6.09,35.65,-5.38,23.63,-7.35,21.30,-3.33,18.57,-3.74,12.73,-6.12,13.71,-6.70,20.98,0.92,27.39,0.62,25.25,5.01,30.40
Snow depth,snd,fraction,0.96,1.00,1.35,2.25,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.96,1.00
Near surface specific humidity,huss,∆kg/kg,0.000318,0.001895,0.000666,0.001485,0.000174,0.001623,0.000160,0.001366,0.000251,0.001395,0.001150,0.002029,0.000846,0.002452,0.000682,0.002066,0.000408,0.001690,0.000908,0.001928,0.000603,0.001523,0.000752,0.001730
Air pressure at mean sea level,psl,∆hPa,0.10,10.23,-1.41,11.62,2.10,9.75,-0.01,4.54,0.01,4.06,-1.22,2.28,-1.06,1.81,-1.35,1.90,-0.71,3.18,-0.30,4.63,-0.63,7.36,-1.45,9.30
Near surface wind speed,sfcWind,fraction,1.0010,0.4387,0.9933,0.4701,0.9978,0.4177,1.0315,0.3824,0.9815,0.3318,0.9932,0.3402,1.0274,0.4094,1.0360,0.3479,0.9617,0.3022,0.9563,0.3641,0.9587,0.4131,1.0405,0.4885
