# UKESM1_0_LL ssp370 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,2.31,2.95,2.06,2.29,1.91,2.27,2.75,2.79,3.56,3.01,2.98,3.12,3.15,2.77,2.74,2.50,3.01,2.36,2.90,2.82,2.11,2.59,2.45,2.94
Daily maximum near surface air temperature,tasmax,∆°C,2.38,2.45,2.04,2.54,2.09,3.72,3.49,4.26,4.58,4.07,3.63,4.16,3.42,3.23,3.02,3.19,3.40,3.03,3.22,4.02,2.38,2.78,2.61,2.46
Daily minimum near surface air temperature,tasmin,∆°C,2.34,3.69,2.07,3.18,1.84,2.25,2.04,2.38,2.48,2.60,2.18,2.75,2.85,2.82,2.50,2.29,2.70,2.53,2.69,3.28,1.93,3.24,2.45,3.67
Precipitation,pr,fraction,1.23,1.59,1.00,1.30,1.22,1.50,0.56,0.61,0.50,0.60,0.80,0.99,0.44,0.67,0.25,0.35,0.60,0.82,0.82,0.91,0.65,0.69,0.98,1.10
Surface downwelling shortwave radiation,rsds,∆W/m²,-0.60,28.93,-1.40,40.82,1.09,45.41,21.77,42.97,16.06,32.20,6.67,27.12,2.00,20.74,4.72,13.63,1.15,17.17,1.77,23.21,5.42,22.90,0.05,22.90
Total cloud cover percentage,clt,∆%,1.80,33.66,1.37,35.14,-3.82,28.80,-9.18,22.16,-10.04,19.99,-5.24,18.26,-5.50,16.35,-7.45,10.36,-6.11,17.07,-6.59,18.62,-7.34,25.73,-0.90,30.59
Snow depth,snd,fraction,0.40,0.88,1.75,1.00,0.86,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.55,1.00
Near surface specific humidity,huss,∆kg/kg,0.001051,0.001779,0.000902,0.001631,0.000731,0.001471,0.000882,0.001671,0.000761,0.001619,0.000733,0.001849,0.001148,0.001720,0.001144,0.001408,0.001355,0.001670,0.001638,0.002299,0.001039,0.002020,0.001187,0.001813
Air pressure at mean sea level,psl,∆hPa,-2.09,8.50,-1.48,10.07,-1.58,7.80,0.67,4.80,-0.95,2.81,-0.64,2.25,-0.68,1.84,-1.13,1.78,-0.36,2.18,-0.44,3.53,-0.39,5.09,-0.37,7.81
Near surface wind speed,sfcWind,fraction,0.9602,0.5039,0.9702,0.5246,0.9879,0.4807,0.9069,0.3697,0.9940,0.3768,1.0015,0.3413,0.9902,0.3040,0.9898,0.3097,0.9145,0.3302,0.9399,0.3891,0.9153,0.4494,0.9212,0.4449
