# BCC_CSM2_MR ssp370 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.61,1.98,1.11,2.92,1.74,3.66,2.66,3.72,2.39,3.38,2.48,3.44,2.62,3.53,2.66,2.72,2.19,2.89,1.83,2.88,1.78,2.49,1.63,2.81
Daily maximum near surface air temperature,tasmax,∆°C,2.23,2.26,1.60,3.77,2.28,4.87,3.41,4.96,2.93,4.44,2.67,4.07,2.86,4.46,2.77,3.17,2.54,3.58,2.15,3.45,2.35,3.02,2.25,2.96
Daily minimum near surface air temperature,tasmin,∆°C,1.20,2.35,0.80,2.89,1.38,3.10,2.01,2.88,1.73,2.73,2.30,3.21,2.18,2.92,2.54,2.58,1.82,2.80,1.62,3.08,1.62,2.92,1.29,3.07
Precipitation,pr,fraction,0.69,0.77,1.05,1.24,0.85,0.97,0.70,0.77,0.56,0.65,1.11,1.37,0.88,1.02,0.67,0.76,0.76,0.89,0.83,0.88,0.71,0.79,0.89,0.99
Surface downwelling shortwave radiation,rsds,∆W/m²,6.74,24.78,7.23,30.33,5.83,38.98,13.79,42.67,17.48,30.17,4.77,20.71,7.47,15.35,3.06,11.43,5.80,20.09,5.25,23.04,7.19,24.35,5.62,24.35
Total cloud cover percentage,clt,∆%,-3.09,20.33,-8.51,23.08,-0.93,20.51,-2.12,20.00,-4.24,14.51,-0.82,11.11,-1.69,11.95,0.17,11.86,-2.77,16.47,-3.93,18.27,-3.20,21.47,-4.86,21.34
Snow depth,snd,fraction,0.08,0.96,8.97,1.07,0.96,1.00,1.35,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.08,0.18
Near surface specific humidity,huss,∆kg/kg,0.000411,0.001334,0.000081,0.001380,0.000299,0.001544,0.000435,0.001509,0.000254,0.001255,0.000821,0.001280,0.000793,0.001296,0.000770,0.001355,0.000605,0.001747,0.000610,0.001722,0.000429,0.001675,0.000451,0.001367
Air pressure at mean sea level,psl,∆hPa,0.88,10.17,0.52,9.61,0.79,8.06,0.93,5.89,0.02,3.80,-0.86,2.89,-1.11,2.61,-0.23,2.65,-0.58,3.03,0.89,5.01,0.92,6.93,1.73,9.20
Near surface wind speed,sfcWind,fraction,0.9377,0.4016,1.0414,0.4420,0.9552,0.3751,0.9840,0.3657,0.9995,0.3385,0.9882,0.3346,0.9768,0.3432,1.0183,0.3894,0.9288,0.3501,1.0203,0.4034,0.9291,0.3444,0.9542,0.3742
