# CAS_ESM2_0 ssp126 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.55,1.80,1.34,1.78,1.26,1.95,1.36,2.01,2.09,2.14,1.83,2.27,1.66,1.93,1.85,2.04,1.97,2.50,1.50,1.89,1.55,1.42,1.35,1.56
Daily maximum near surface air temperature,tasmax,∆°C,1.51,1.90,1.34,1.86,1.27,2.05,1.38,2.13,2.16,2.20,1.85,2.31,1.70,1.88,1.84,1.97,1.96,2.58,1.52,2.10,1.52,1.52,1.34,1.58
Daily minimum near surface air temperature,tasmin,∆°C,1.60,1.76,1.35,1.75,1.27,1.92,1.34,1.92,2.01,2.05,1.81,2.24,1.60,2.02,1.87,2.13,1.96,2.35,1.49,1.74,1.60,1.41,1.36,1.63
Precipitation,pr,fraction,1.05,0.96,0.85,0.89,0.95,0.89,0.86,0.76,0.62,0.67,1.11,1.65,0.73,1.09,1.04,1.79,0.92,1.09,0.92,0.90,0.94,0.82,0.91,0.89
Surface downwelling shortwave radiation,rsds,∆W/m²,2.77,25.41,8.02,41.39,5.90,38.79,7.75,42.20,8.48,30.08,2.17,25.91,5.73,19.72,-0.48,18.51,4.68,27.74,5.56,33.71,3.11,23.86,6.27,23.86
Total cloud cover percentage,clt,∆%,-1.46,22.84,-3.86,27.56,-1.03,19.41,-1.26,22.61,0.44,15.39,0.36,14.58,-1.87,7.30,1.93,13.05,-0.34,15.48,-2.10,20.93,-2.23,16.41,-3.94,19.51
Snow depth,snd,fraction,1.00,1.00,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Near surface specific humidity,huss,∆kg/kg,0.000687,0.001316,0.000510,0.001497,0.000604,0.001312,0.000738,0.001411,0.001141,0.001496,0.001393,0.002051,0.001305,0.002155,0.001750,0.002467,0.001547,0.002296,0.000888,0.001640,0.000923,0.001072,0.000552,0.001113
Air pressure at mean sea level,psl,∆hPa,-0.29,7.02,0.22,9.29,0.09,4.83,0.20,3.68,-0.12,1.94,-0.61,1.80,-0.42,1.75,-0.52,1.46,-0.40,1.89,0.21,3.71,0.47,5.52,0.62,7.46
Near surface wind speed,sfcWind,fraction,1.0332,0.4506,0.9390,0.4759,0.9608,0.3991,0.9616,0.4147,1.0304,0.4502,0.9476,0.3839,1.0329,0.4376,0.9800,0.3853,0.9674,0.4419,0.9809,0.4359,0.9747,0.4174,0.9879,0.4452
