# CMCC_ESM2 ssp585 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,3.83,2.74,4.38,2.80,4.30,3.56,5.94,4.23,5.51,4.42,5.21,4.19,4.49,2.71,4.28,2.50,5.79,2.35,5.00,2.73,4.84,2.88,4.08,2.36
Daily maximum near surface air temperature,tasmax,∆°C,3.83,2.88,4.54,3.28,4.39,4.35,6.32,4.89,5.52,5.03,5.26,4.62,4.75,2.97,4.47,2.72,5.77,2.56,4.73,3.01,4.83,3.11,3.79,2.32
Daily minimum near surface air temperature,tasmin,∆°C,3.86,2.82,4.24,2.77,4.20,3.13,5.61,3.68,5.50,3.85,5.19,3.76,4.38,2.53,4.26,2.38,5.86,2.28,5.25,2.65,4.86,2.99,4.26,2.78
Precipitation,pr,fraction,0.57,0.78,0.46,0.57,0.53,0.66,0.41,0.49,0.68,0.73,0.67,1.01,0.35,0.61,0.14,0.23,0.80,1.01,0.63,0.77,0.49,0.54,1.39,1.78
Surface downwelling shortwave radiation,rsds,∆W/m²,6.59,18.11,7.27,25.05,11.23,37.44,15.11,40.37,4.08,35.93,4.67,34.68,1.08,16.65,-0.92,14.84,-3.31,16.28,3.08,20.42,5.36,22.07,1.42,22.07
Total cloud cover percentage,clt,∆%,-3.44,22.79,-5.26,22.04,-6.98,26.39,-7.29,21.17,-5.29,17.34,-4.91,15.40,-3.25,7.90,-3.51,8.12,-6.89,13.07,-7.98,19.76,-4.75,24.50,-3.91,30.81
Snow depth,snd,fraction,0.80,1.00,0.92,1.00,0.92,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.92,1.00,0.28,1.00
Near surface specific humidity,huss,∆kg/kg,0.001191,0.001493,0.001076,0.001444,0.000573,0.001964,0.000425,0.002118,0.001134,0.001821,0.001658,0.002481,0.002461,0.002100,0.002821,0.001719,0.002637,0.001999,0.002041,0.001846,0.001449,0.001967,0.001475,0.001700
Air pressure at mean sea level,psl,∆hPa,0.14,5.19,-0.06,6.73,0.99,5.73,-0.01,3.43,-0.68,2.09,-0.24,1.37,-1.06,1.65,-1.23,1.89,-1.03,1.73,-0.27,2.68,0.87,5.07,-1.04,6.63
Near surface wind speed,sfcWind,fraction,1.0071,0.3915,0.9336,0.3913,1.0202,0.4089,1.0449,0.3480,1.0380,0.3482,1.0607,0.3685,1.0573,0.3375,1.0443,0.3335,0.9995,0.3446,1.0428,0.3946,0.9434,0.3592,1.0301,0.4093
