# CNRM_CM6_1_HR ssp126 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.11,2.51,1.74,2.65,2.06,2.63,2.42,2.90,2.35,3.90,3.00,3.75,2.49,2.70,2.50,2.20,2.17,2.93,1.38,2.83,1.59,2.21,1.34,2.41
Daily maximum near surface air temperature,tasmax,∆°C,1.18,2.77,2.03,3.15,2.49,3.44,3.00,4.18,2.61,5.18,3.38,4.83,2.77,3.27,2.80,2.70,2.38,4.02,1.43,3.76,1.65,2.81,1.35,2.43
Daily minimum near surface air temperature,tasmin,∆°C,0.99,2.92,1.49,3.01,1.69,2.72,1.85,2.10,2.14,2.79,2.62,2.83,2.35,2.36,2.31,2.05,2.02,2.20,1.23,2.42,1.57,2.43,1.31,2.97
Precipitation,pr,fraction,0.97,1.04,0.83,0.82,0.88,0.89,0.78,0.73,0.93,1.00,0.47,0.50,0.56,0.79,0.90,1.37,0.71,0.84,0.92,0.80,0.96,0.95,1.02,1.08
Surface downwelling shortwave radiation,rsds,∆W/m²,1.60,25.90,5.86,37.18,8.99,40.49,19.07,45.86,7.94,46.09,13.88,34.75,6.75,27.78,7.90,28.12,7.84,32.34,6.07,27.49,2.28,25.00,1.07,25.00
Total cloud cover percentage,clt,∆%,1.48,25.70,-0.37,30.13,-0.12,25.18,-7.82,23.12,-3.35,17.85,-5.00,14.53,-2.06,16.64,-3.30,19.22,-2.68,17.67,-5.15,19.17,0.30,22.74,1.27,21.94
Snow depth,snd,fraction,0.47,0.60,0.51,0.60,0.57,0.69,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.57
Near surface specific humidity,huss,∆kg/kg,0.000383,0.001351,0.000483,0.001522,0.000290,0.001467,0.000024,0.001286,0.000380,0.001663,0.000108,0.001890,0.000692,0.001844,0.000609,0.001775,0.000511,0.002065,0.000272,0.001762,0.000592,0.001459,0.000517,0.001448
Air pressure at mean sea level,psl,∆hPa,0.98,9.44,2.29,9.06,0.74,7.71,1.32,5.32,0.31,3.56,-0.10,2.28,-0.51,1.40,-0.72,1.59,0.45,2.33,-0.35,4.42,0.98,6.98,0.11,6.76
Near surface wind speed,sfcWind,fraction,0.9740,0.5184,0.9942,0.4953,0.9690,0.4810,0.9677,0.4203,1.0110,0.3657,1.0385,0.3701,1.0416,0.3414,1.0506,0.3823,1.0219,0.4105,0.9744,0.4213,0.9977,0.4297,0.9922,0.5567
