# CNRM_CM6_1 ssp370 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.02,2.42,1.33,2.44,0.79,2.30,1.21,3.71,2.62,3.62,2.80,3.36,2.17,2.92,2.57,2.43,1.98,2.98,1.67,3.08,0.85,2.14,0.83,2.88
Daily maximum near surface air temperature,tasmax,∆°C,1.33,2.36,1.50,3.04,0.92,3.15,1.64,5.08,3.22,4.59,3.08,4.20,2.49,3.38,2.82,2.85,2.13,3.93,1.76,3.95,1.31,2.14,1.13,2.73
Daily minimum near surface air temperature,tasmin,∆°C,0.85,3.09,1.19,2.85,0.64,2.42,0.69,2.67,2.07,2.85,2.65,2.72,1.95,2.66,2.37,2.34,1.86,2.35,1.65,2.74,0.46,2.76,0.62,3.32
Precipitation,pr,fraction,0.84,0.86,1.05,1.15,0.92,0.97,0.69,0.68,0.66,0.73,1.07,1.40,0.43,0.65,1.15,1.65,0.73,0.86,0.94,0.85,0.75,0.70,0.70,0.70
Surface downwelling shortwave radiation,rsds,∆W/m²,2.61,30.81,-1.44,42.13,2.80,42.15,15.27,43.77,14.42,43.12,7.14,37.96,11.09,26.63,4.83,23.88,3.49,31.78,3.35,31.92,9.10,24.50,4.73,24.50
Total cloud cover percentage,clt,∆%,1.15,32.84,1.92,32.12,-0.49,28.78,-8.31,23.80,-3.67,20.01,0.74,16.06,-4.45,12.67,-3.94,17.29,-1.25,17.42,-1.49,26.38,-6.18,26.24,-3.66,28.02
Snow depth,snd,fraction,0.45,1.09,8.51,126.12,9.62,986.79,1.09,1.25,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.97,1.00,9.58,1263.75,1.62,4.49
Near surface specific humidity,huss,∆kg/kg,0.000262,0.001423,0.000406,0.001506,-0.000040,0.001466,-0.000340,0.001405,-0.000219,0.001517,0.000305,0.001998,0.000248,0.001529,0.000405,0.001657,0.000374,0.001966,0.000690,0.002213,0.000044,0.001578,0.000143,0.001537
Air pressure at mean sea level,psl,∆hPa,2.41,9.94,0.41,10.17,0.87,6.99,1.79,5.33,0.48,3.48,-0.35,2.26,-0.19,2.02,-0.27,1.67,-0.05,2.15,0.62,4.29,1.43,5.86,2.62,7.68
Near surface wind speed,sfcWind,fraction,1.0091,0.4991,1.0135,0.5275,1.0419,0.4568,0.9889,0.4170,1.0355,0.3848,1.0831,0.3837,1.0672,0.3850,0.9931,0.3324,0.9355,0.3799,0.9971,0.3923,0.9081,0.4208,0.9909,0.4602
