# CNRM_ESM2_1 ssp585 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.30,2.83,1.16,2.77,0.92,2.47,1.48,3.24,2.79,4.85,3.42,3.45,2.72,2.68,2.70,2.39,2.47,2.83,2.60,3.37,1.69,3.02,1.29,2.76
Daily maximum near surface air temperature,tasmax,∆°C,1.18,2.57,1.07,2.91,1.22,3.08,1.66,4.48,3.31,6.13,3.49,3.81,2.97,3.08,2.82,2.86,2.20,3.52,2.95,4.14,1.48,3.63,1.34,2.63
Daily minimum near surface air temperature,tasmin,∆°C,1.39,3.56,1.21,3.23,0.67,2.96,1.38,2.51,2.27,3.85,3.45,3.31,2.58,2.64,2.74,2.24,2.87,2.51,2.37,3.11,1.77,3.44,1.29,3.26
Precipitation,pr,fraction,1.14,1.14,0.85,0.82,0.87,0.93,0.77,0.74,0.52,0.52,0.62,0.78,0.46,0.68,0.65,0.98,1.44,1.77,0.70,0.71,0.88,0.90,0.91,0.86
Surface downwelling shortwave radiation,rsds,∆W/m²,-2.82,28.26,1.76,35.01,9.13,41.52,13.21,41.08,18.88,40.97,12.25,33.12,11.11,25.11,5.27,27.90,-7.79,27.40,7.66,27.88,-1.84,30.23,1.29,30.23
Total cloud cover percentage,clt,∆%,3.80,29.03,-0.25,28.67,-8.04,27.56,-3.04,22.09,-4.95,19.87,-7.49,17.36,-5.33,16.69,-2.68,16.12,5.04,19.00,-5.24,22.76,2.33,27.58,0.38,26.95
Snow depth,snd,fraction,1.25,3.43,0.01,0.01,0.11,0.88,0.00,0.96,0.96,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.32,1.92,0.09,0.96,0.01,0.02
Near surface specific humidity,huss,∆kg/kg,0.000585,0.001487,0.000365,0.001566,0.000001,0.001387,0.000103,0.001369,-0.000244,0.001715,0.000091,0.001946,0.000164,0.001640,0.000809,0.001688,0.001401,0.002197,0.000671,0.001936,0.000642,0.001833,0.000442,0.001502
Air pressure at mean sea level,psl,∆hPa,-1.12,9.90,0.86,8.72,1.29,8.18,0.44,4.85,0.79,2.75,-0.44,2.18,-0.72,1.65,-0.49,1.63,-0.21,2.06,1.87,3.90,0.29,6.66,0.93,8.04
Near surface wind speed,sfcWind,fraction,0.9889,0.4704,1.0094,0.4997,1.0315,0.4943,1.0390,0.4445,1.0315,0.4266,1.1618,0.4991,1.0329,0.3889,1.0278,0.3452,0.9817,0.3769,0.9324,0.4225,0.9730,0.4451,0.9872,0.4627
