# CanESM5_1 ssp585 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,4.52,2.34,4.51,2.35,4.55,3.53,5.05,3.33,5.78,3.94,7.60,3.46,7.13,3.25,7.46,2.37,7.77,2.89,7.85,3.61,5.50,2.76,4.92,1.97
Daily maximum near surface air temperature,tasmax,∆°C,4.67,2.86,4.62,3.41,4.51,4.73,5.46,4.35,5.89,4.93,7.88,4.11,6.68,4.13,6.94,2.99,7.69,3.44,8.38,4.36,5.84,3.59,4.96,2.16
Daily minimum near surface air temperature,tasmin,∆°C,4.40,2.58,4.54,2.29,4.57,2.99,4.62,2.87,5.67,3.13,7.34,3.19,7.46,2.97,7.48,2.50,7.50,2.83,7.55,3.53,5.25,2.67,4.87,2.52
Precipitation,pr,fraction,0.83,0.97,0.93,1.36,1.33,1.76,0.94,1.03,0.76,0.91,0.97,1.27,0.88,1.11,0.27,0.37,0.43,0.53,0.38,0.43,0.71,0.83,0.73,0.80
Surface downwelling shortwave radiation,rsds,∆W/m²,1.54,24.07,0.71,34.14,-6.05,36.56,6.94,38.96,-0.34,33.11,4.33,26.39,0.90,21.67,-2.32,15.53,2.07,27.31,8.99,23.48,4.28,24.91,1.92,24.91
Total cloud cover percentage,clt,∆%,-1.51,27.60,-3.49,33.21,1.70,23.62,-3.98,19.14,-9.02,17.01,-9.10,12.26,-7.76,12.04,-5.48,9.46,-9.93,20.57,-11.26,20.22,-9.28,27.52,-3.05,28.05
Snow depth,snd,fraction,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Near surface specific humidity,huss,∆kg/kg,0.001745,0.001335,0.001336,0.001301,0.001397,0.001301,0.001357,0.001319,0.001869,0.001264,0.002863,0.002298,0.003763,0.002237,0.004012,0.001847,0.004027,0.002312,0.003609,0.002003,0.002371,0.001525,0.002214,0.001356
Air pressure at mean sea level,psl,∆hPa,-1.99,6.11,-2.36,7.63,-2.33,5.94,-1.37,3.99,-1.02,2.47,-2.27,1.96,-3.27,1.72,-4.81,2.15,-2.91,2.42,-0.15,3.68,-1.06,5.91,-1.81,7.44
Near surface wind speed,sfcWind,fraction,0.9140,0.4542,0.9920,0.4701,0.9611,0.4438,0.8780,0.3627,0.9246,0.3701,0.8730,0.3358,0.9512,0.3657,0.9836,0.3893,0.9146,0.3987,0.8793,0.3839,0.9079,0.4393,0.9043,0.4814
