# CanESM5_CanOE ssp585 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,2.10,2.29,1.72,2.46,1.26,2.88,2.76,3.88,3.23,3.87,3.84,3.37,3.80,2.94,4.31,2.46,4.28,2.71,3.74,2.85,2.92,2.30,2.36,2.42
Daily maximum near surface air temperature,tasmax,∆°C,2.10,2.79,1.81,3.65,1.12,4.39,2.92,5.43,3.36,4.99,3.87,4.07,3.53,3.74,4.04,3.07,4.08,3.67,3.96,3.66,3.16,2.90,2.40,2.50
Daily minimum near surface air temperature,tasmin,∆°C,2.17,2.56,1.64,2.30,1.30,2.16,2.63,2.72,3.13,3.15,3.74,3.08,3.87,2.64,4.20,2.44,4.33,2.50,3.62,2.96,2.79,2.77,2.44,2.96
Precipitation,pr,fraction,1.46,1.81,1.20,1.62,1.29,1.70,1.01,1.24,0.79,1.06,0.93,1.18,0.98,1.32,0.52,0.70,0.88,0.91,0.59,0.69,0.75,0.81,0.84,0.88
Surface downwelling shortwave radiation,rsds,∆W/m²,-1.40,27.82,2.12,34.22,2.42,39.78,4.65,37.54,9.07,39.49,3.95,26.34,-0.02,22.63,0.10,15.56,1.81,25.27,4.42,30.84,6.70,27.79,1.95,27.79
Total cloud cover percentage,clt,∆%,-1.88,28.79,-1.50,30.55,-2.13,27.64,-3.63,21.11,-5.89,20.46,-5.62,12.04,-2.58,11.61,-4.61,10.27,-3.69,20.04,-6.14,25.31,-7.07,28.02,-3.17,30.81
Snow depth,snd,fraction,0.05,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05,1.00
Near surface specific humidity,huss,∆kg/kg,0.000887,0.001193,0.000646,0.001252,0.000540,0.001300,0.000554,0.001379,0.000936,0.001806,0.001460,0.002264,0.002079,0.002875,0.002083,0.002022,0.002158,0.002058,0.001673,0.001997,0.001242,0.001650,0.000948,0.001489
Air pressure at mean sea level,psl,∆hPa,-1.64,8.61,-1.94,7.13,-2.43,7.01,-1.10,4.65,-0.81,3.11,-1.50,2.21,-1.90,1.94,-2.55,2.39,-1.63,2.40,-0.44,3.80,-0.35,5.41,0.20,7.61
Near surface wind speed,sfcWind,fraction,1.0234,0.5435,0.9695,0.5208,0.9499,0.4306,0.9386,0.3791,0.9466,0.3845,0.9310,0.3740,0.9319,0.3489,0.9671,0.3568,0.9612,0.4148,0.8787,0.3803,0.8743,0.4085,0.9292,0.4795
