# CanESM5 ssp126 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.26,2.41,1.53,2.07,1.83,2.71,1.33,3.13,1.47,3.58,2.04,3.59,2.64,2.84,2.84,2.06,2.83,2.45,2.51,2.27,1.77,2.07,1.90,1.90
Daily maximum near surface air temperature,tasmax,∆°C,1.08,2.77,1.45,3.08,1.78,4.21,1.11,4.52,1.23,4.96,1.94,4.70,2.58,3.98,2.85,2.73,2.54,3.53,2.60,3.29,1.61,2.91,1.62,2.23
Daily minimum near surface air temperature,tasmin,∆°C,1.39,2.77,1.61,2.41,1.88,1.93,1.61,2.31,1.65,2.38,2.09,2.79,2.47,2.19,2.52,2.34,2.95,2.23,2.46,2.29,1.94,2.41,2.09,2.25
Precipitation,pr,fraction,1.31,1.67,1.11,1.43,1.36,1.63,1.16,1.43,1.39,1.58,1.28,1.54,0.71,0.90,1.00,1.31,1.36,1.53,0.80,0.90,1.06,1.26,0.91,1.01
Surface downwelling shortwave radiation,rsds,∆W/m²,-2.95,32.37,1.84,38.63,0.06,35.26,3.10,37.23,0.71,38.81,7.47,25.92,7.08,19.57,5.17,16.60,-4.03,26.62,2.82,28.74,0.90,31.40,-1.71,31.40
Total cloud cover percentage,clt,∆%,3.51,32.73,-0.89,34.05,3.58,26.82,-1.50,24.16,0.18,20.13,-2.20,14.21,-4.78,11.24,-2.63,12.44,0.43,23.62,-2.08,22.38,-1.85,32.61,3.28,26.55
Snow depth,snd,fraction,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Near surface specific humidity,huss,∆kg/kg,0.000722,0.001476,0.000621,0.001376,0.000643,0.001173,0.000588,0.001389,0.000761,0.001536,0.000831,0.002008,0.000696,0.002498,0.000791,0.001986,0.001695,0.002039,0.001314,0.001955,0.000876,0.001598,0.000890,0.001318
Air pressure at mean sea level,psl,∆hPa,-2.47,9.37,-1.11,8.98,-2.02,7.56,-0.73,4.42,-1.05,2.78,-0.68,1.94,-0.90,2.06,-1.57,1.93,-1.15,2.76,-0.25,3.91,-0.14,6.63,-0.70,7.64
Near surface wind speed,sfcWind,fraction,0.9414,0.4492,0.9396,0.5027,0.9167,0.4099,0.9919,0.4053,0.9702,0.4229,0.9151,0.3460,0.9880,0.4036,0.9520,0.3478,0.9406,0.3662,0.8926,0.3906,0.9545,0.4689,0.9812,0.5116
