# EC_Earth3_Veg ssp245 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.13,2.28,1.29,2.16,1.38,2.53,1.72,3.93,1.95,4.10,2.33,4.70,2.31,3.55,2.09,2.80,1.54,3.21,3.04,3.12,1.37,2.43,0.78,2.62
Daily maximum near surface air temperature,tasmax,∆°C,1.35,2.27,1.31,2.96,1.68,3.72,1.91,5.16,2.26,5.10,2.45,5.61,2.34,3.95,2.16,3.02,1.43,3.77,3.35,3.91,1.09,3.33,0.85,2.78
Daily minimum near surface air temperature,tasmin,∆°C,1.03,2.71,1.27,2.38,1.05,1.87,1.48,2.66,1.62,3.03,2.18,3.84,2.36,3.17,2.03,2.53,1.71,2.81,2.63,2.50,1.54,2.32,0.76,3.09
Precipitation,pr,fraction,0.78,0.81,1.07,1.21,0.77,0.84,0.83,0.82,0.73,0.75,0.74,0.92,0.85,1.48,0.70,1.12,0.63,0.89,0.70,0.71,1.34,1.46,0.83,0.93
Surface downwelling shortwave radiation,rsds,∆W/m²,6.44,19.36,4.02,31.51,10.94,37.34,9.41,39.13,16.73,39.29,8.62,34.06,2.64,16.36,4.01,12.36,1.61,22.18,8.95,23.98,-1.57,20.61,4.97,20.61
Total cloud cover percentage,clt,∆%,-1.46,25.93,0.12,31.84,-2.33,25.51,-1.19,22.44,-5.06,16.74,-2.52,18.03,3.78,18.03,-2.28,15.31,-1.08,22.00,-4.92,21.00,0.63,24.60,-4.33,22.96
Snow depth,snd,fraction,0.24,0.61,0.82,1.87,0.34,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,5.84,1.00,0.04,0.19
Near surface specific humidity,huss,∆kg/kg,0.000268,0.001125,0.000358,0.001248,0.000202,0.001425,0.000041,0.001654,-0.000127,0.001721,-0.000072,0.002268,0.000512,0.001969,0.000450,0.001194,0.000742,0.001932,0.000571,0.001710,0.000623,0.001673,0.000279,0.001358
Air pressure at mean sea level,psl,∆hPa,1.35,6.58,0.06,8.88,0.90,6.72,0.24,4.18,-0.12,3.38,-0.21,2.05,-0.71,1.92,-0.56,1.56,-0.30,2.11,0.71,3.88,-1.90,5.76,0.62,7.62
Near surface wind speed,sfcWind,fraction,0.9330,0.3933,1.0211,0.4529,0.9791,0.3970,0.9733,0.3913,1.0200,0.4000,1.0374,0.3845,1.0253,0.3070,1.0088,0.2637,1.0365,0.3360,0.9659,0.3681,0.9941,0.4232,0.9859,0.4404
