# EC_Earth3 ssp585 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,3.75,2.51,4.13,2.66,3.89,3.34,6.24,4.48,7.16,5.40,7.85,4.66,6.25,3.33,5.11,3.07,5.92,3.85,5.74,3.81,4.79,3.52,4.27,2.52
Daily maximum near surface air temperature,tasmax,∆°C,3.88,2.95,4.13,3.43,4.24,4.69,6.98,5.87,7.80,6.58,8.30,5.39,6.42,3.87,4.95,3.43,5.90,4.33,5.82,4.45,4.61,4.19,4.28,3.09
Daily minimum near surface air temperature,tasmin,∆°C,3.64,2.96,4.22,2.68,3.59,2.23,5.45,3.17,6.45,4.14,7.37,4.02,6.13,2.79,5.52,2.70,6.17,3.46,5.67,3.43,4.99,3.35,4.34,2.78
Precipitation,pr,fraction,1.09,1.29,1.29,1.32,0.66,0.64,0.50,0.57,0.51,0.62,0.19,0.27,0.54,1.12,0.99,1.79,0.53,0.75,0.64,0.69,0.92,0.96,0.90,1.01
Surface downwelling shortwave radiation,rsds,∆W/m²,1.44,23.96,0.74,25.43,16.98,36.95,25.72,43.33,24.53,39.77,22.13,26.71,4.72,18.60,0.16,11.51,3.57,16.90,9.14,26.10,3.53,20.26,4.29,20.26
Total cloud cover percentage,clt,∆%,-2.51,27.77,3.82,26.19,-8.72,26.56,-15.21,23.63,-12.60,17.90,-12.24,17.76,-6.02,15.76,-7.90,13.27,-11.90,16.96,-13.37,22.23,-6.76,23.69,-3.32,24.00
Snow depth,snd,fraction,0.00,0.46,0.00,1.00,0.00,1.00,0.10,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.46,1.00,0.10,1.00
Near surface specific humidity,huss,∆kg/kg,0.001368,0.001323,0.001545,0.001384,0.001224,0.001511,0.000890,0.001807,0.000866,0.001575,0.000809,0.002073,0.001628,0.002032,0.002512,0.001655,0.002447,0.001834,0.002233,0.002289,0.001848,0.001861,0.001652,0.001458
Air pressure at mean sea level,psl,∆hPa,-1.18,8.58,-0.43,7.96,2.50,6.30,2.25,4.61,-0.74,3.06,-0.57,1.72,-1.47,1.76,-2.44,1.84,-1.13,1.80,1.14,3.81,-0.12,6.14,-0.03,6.31
Near surface wind speed,sfcWind,fraction,0.9820,0.4909,1.0136,0.4028,0.9054,0.3737,0.9583,0.3622,0.9514,0.3656,1.0538,0.3828,1.0418,0.2887,0.9795,0.2553,0.9516,0.3220,0.9054,0.3530,0.9693,0.3895,0.9347,0.4226
