# Monthly average difference between variables of two EPW files (last EPW variables minus the first EPW variables).
Variable,Unit,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ground Temperatures,∆°C,depth 0.5 m,2.56,2.43,2.09,2.05,2.15,2.32,2.68,2.97,3.14,3.21,3.14,2.86
Ground Temperatures,∆°C,depth 2.0 m,2.68,2.60,2.29,1.96,2.22,2.31,2.56,2.78,2.94,3.05,3.05,2.90
Ground Temperatures,∆°C,depth 4.0 m,2.73,2.69,2.44,2.06,2.34,2.37,2.51,2.67,2.78,2.90,2.92,2.85
N6 Dry Bulb Temperature,∆°C,-,1.8230,1.9009,1.8650,2.3435,3.0443,3.5102,3.3268,3.2724,3.3526,2.8717,2.2464,1.9431
N7 Dew Point Temperature,∆°C,-,1.5909,1.2052,1.2312,1.1602,1.2320,1.3841,1.4206,1.6759,2.1011,1.7602,1.7142,1.5012
N8 Relative Humidity,∆%,-,-0.2686,-2.1436,-2.0261,-3.8150,-5.4823,-5.6996,-5.2647,-4.4929,-3.2448,-3.9544,-1.7918,-0.8550
N9 Atmospheric Station Pressure,∆Pa,-,11.8319,-0.1309,0.4172,19.4209,-13.7357,-66.8545,-79.3619,-102.8349,-44.8814,9.3612,39.6146,51.9059
N10 Extraterrestrial Horizontal Radiation,∆Wh/m²,-,0.7908,1.8247,2.2477,2.1791,1.3325,0.1609,0.2054,0.8125,1.1558,-1.5173,-1.2050,-0.2337
N11 Extraterrestrial Direct Normal Radiation,∆Wh/m²,-,-839.4739,-779.4841,-701.0877,-620.6866,-555.0066,-521.9962,-534.7519,-586.9283,-659.5240,-739.3381,-813.8645,-855.6825
N12 Horizontal Infrared Radiation Intensity,∆Wh/m²,-,15.4511,24.3105,17.7607,13.2814,17.4357,24.4784,25.0982,24.7351,22.6675,33.9354,22.5356,22.3527
N13 Global Horizontal Radiation,∆Wh/m²,-,3.3167,3.8690,6.3517,11.4646,11.3580,7.4741,3.1422,3.0250,4.6470,4.7071,5.2831,3.5164
N14 Direct Normal Radiation,∆Wh/m²,-,-12.9878,-9.1132,5.3569,17.9646,18.2282,12.9570,-8.6867,-2.7124,7.1197,3.5137,1.7839,-5.4662
N15 Diffuse Horizontal Radiation,∆Wh/m²,-,8.0953,7.2356,1.4761,-2.1725,-6.0595,-6.3407,5.0401,1.4607,-3.2531,1.9579,5.4506,5.1643
N16 Global Horizontal Illuminance,∆lux,-,281.4240,387.5775,710.1688,1100.3309,1275.4588,550.9641,441.4508,468.8532,469.8778,557.8741,506.9501,345.2576
N17 Direct Normal Illuminance,∆lux,-,-1410.1844,-1036.0358,546.3994,1833.4631,2161.4538,1700.1451,-856.9394,-152.9520,1045.9509,339.5605,-113.5849,-560.0971
N18 Diffuse Horizontal Illuminance,∆lux,-,-5190.8602,-7170.0893,-9021.2366,-12295.5556,-12514.7849,-13466.5278,-11465.8602,-10804.8387,-10334.3056,-8234.8118,-5771.9444,-5048.1183
N19 Zenith Luminance,∆Cd/m²,-,164.6502,193.0462,69.1116,-106.1277,-345.0784,-601.2788,145.5513,31.6638,-135.3729,64.6123,110.7233,123.5115
N21 Wind Speed,∆m/s,-,-0.0452,-0.0167,-0.0418,-0.0399,0.0047,0.0557,0.0352,0.0305,-0.0233,-0.0797,-0.1305,-0.0886
N22 Total Sky Cover,∆deca,-,0.0000,0.0000,0.0000,-0.9111,-0.9073,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N23 Opaque Sky Cover,∆deca,-,0.0000,0.0000,0.0000,-0.6444,-0.5981,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N30 Snow Depth,∆cm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N33 Liquid Precipitation Depth,∆mm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
