# FGOALS_g3 ssp245 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.13,1.74,0.74,1.79,1.10,1.55,0.81,1.60,1.08,2.13,0.80,2.26,0.66,1.84,1.09,1.93,1.12,1.41,1.24,1.84,1.05,1.79,0.92,1.81
Daily maximum near surface air temperature,tasmax,∆°C,1.12,1.71,0.76,1.78,1.10,1.63,0.74,1.70,1.09,2.19,0.78,2.19,0.65,1.73,1.12,1.86,1.12,1.44,1.26,1.84,1.09,1.76,0.89,1.71
Daily minimum near surface air temperature,tasmin,∆°C,1.13,1.79,0.70,1.80,1.10,1.48,0.87,1.49,1.07,2.04,0.80,2.32,0.68,2.00,1.02,2.02,1.08,1.38,1.23,1.83,1.02,1.83,0.96,1.92
Precipitation,pr,fraction,0.97,0.90,0.89,0.78,0.75,0.72,0.94,0.92,0.83,0.75,0.95,0.70,1.09,0.73,1.01,0.73,0.79,0.61,0.81,0.72,1.26,1.06,0.86,0.73
Surface downwelling shortwave radiation,rsds,∆W/m²,2.99,19.01,6.11,22.93,11.07,35.22,7.50,31.76,12.89,35.24,5.61,37.33,1.38,26.00,3.79,25.05,3.47,21.62,1.72,22.42,1.70,16.04,4.97,16.04
Total cloud cover percentage,clt,∆%,-0.15,14.01,-3.41,13.37,1.07,13.73,-3.30,13.31,-0.22,15.58,-2.58,13.91,-0.74,13.80,1.27,14.04,1.61,14.54,1.82,11.91,0.72,10.31,-2.40,13.19
Snow depth,snd,fraction,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Near surface specific humidity,huss,∆kg/kg,0.000490,0.001110,0.000270,0.000990,0.000489,0.001000,0.000360,0.001029,0.000519,0.001199,0.000510,0.001179,0.000590,0.001158,0.000920,0.001238,0.000870,0.001279,0.000839,0.001449,0.000680,0.001059,0.000310,0.001010
Air pressure at mean sea level,psl,∆hPa,-1.21,7.90,-0.27,8.04,0.13,7.78,-0.89,5.46,0.73,4.40,-0.41,2.44,-0.27,1.57,-0.70,1.79,0.13,2.78,0.24,3.79,-0.88,6.30,0.83,6.99
Near surface wind speed,sfcWind,fraction,1.0012,0.4626,0.9979,0.4367,0.9851,0.4600,1.0166,0.4351,0.9778,0.4129,0.9481,0.4434,1.0533,0.4797,1.0177,0.5002,1.0467,0.4784,0.9750,0.3885,1.0277,0.4406,0.9733,0.4080
