# GFDL_ESM4 ssp585 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.21,2.83,1.63,2.69,2.32,2.58,2.13,2.88,2.42,3.44,2.86,3.21,2.61,3.18,2.75,2.40,2.35,3.00,2.16,3.14,1.37,2.25,1.53,2.58
Daily maximum near surface air temperature,tasmax,∆°C,1.69,2.88,2.31,3.14,2.71,3.25,2.58,3.49,2.77,4.01,3.04,3.79,2.60,3.50,2.66,2.52,2.37,3.40,2.48,3.94,1.61,2.38,1.61,2.23
Daily minimum near surface air temperature,tasmin,∆°C,0.92,3.23,1.02,2.72,1.95,2.54,1.67,2.50,1.97,2.91,2.75,2.61,2.67,2.87,2.79,2.31,2.32,2.66,1.84,2.51,1.12,2.52,1.38,3.14
Precipitation,pr,fraction,0.64,0.68,0.78,0.83,0.96,1.00,0.81,0.76,0.73,0.75,0.78,0.92,0.97,1.39,0.78,1.23,0.69,0.83,0.68,0.62,0.94,0.90,1.04,1.12
Surface downwelling shortwave radiation,rsds,∆W/m²,5.97,24.26,9.88,26.25,2.55,42.76,16.22,39.49,14.08,37.17,1.84,35.74,-7.40,28.59,-3.96,18.73,1.12,22.23,6.23,28.12,4.15,22.36,1.05,22.36
Total cloud cover percentage,clt,∆%,-5.85,28.47,-6.34,23.88,0.47,28.52,-9.82,20.60,-7.86,18.88,-1.26,18.56,0.15,16.19,1.26,17.11,-1.57,17.03,-4.87,21.29,-3.80,21.36,0.48,25.27
Snow depth,snd,fraction,0.00,0.14,2.61,7.30,0.02,0.04,0.00,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.14,1.00,1.87,4.89
Near surface specific humidity,huss,∆kg/kg,0.000249,0.001377,0.000233,0.001225,0.000551,0.001377,0.000153,0.001337,0.000083,0.001443,0.000573,0.001857,0.000718,0.002112,0.000809,0.001499,0.000681,0.002016,0.000494,0.001687,0.000399,0.001338,0.000652,0.001382
Air pressure at mean sea level,psl,∆hPa,3.09,8.55,1.39,7.66,0.16,7.41,1.11,4.86,-0.11,2.77,-0.15,2.28,-0.55,1.39,-1.12,1.50,-0.15,2.15,1.03,3.70,0.05,7.17,-0.07,7.99
Near surface wind speed,sfcWind,fraction,0.9261,0.4353,0.9867,0.4285,1.0017,0.4181,0.9685,0.3563,0.9918,0.3478,1.0049,0.3695,1.0090,0.3451,0.9864,0.3035,1.0156,0.3263,0.9566,0.3667,0.9788,0.4628,1.0285,0.4708
