# GISS_E2_1_H ssp585 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,2.21,2.16,2.30,2.44,3.63,2.49,3.06,3.41,4.12,3.06,5.52,2.97,5.17,2.47,5.70,2.74,4.72,3.17,4.29,2.65,3.37,2.62,2.85,2.31
Daily maximum near surface air temperature,tasmax,∆°C,2.46,2.30,2.45,2.50,3.58,2.90,2.86,3.90,4.00,3.32,5.47,3.26,5.14,2.70,5.64,2.95,4.37,3.45,4.03,2.87,3.18,2.63,2.76,1.96
Daily minimum near surface air temperature,tasmin,∆°C,2.06,2.59,2.15,2.92,3.63,2.60,3.12,3.13,4.22,3.02,5.62,2.86,5.23,2.54,5.84,2.74,5.04,3.12,4.51,2.72,3.54,2.90,3.01,2.86
Precipitation,pr,fraction,0.76,0.78,0.62,0.58,0.69,0.69,0.75,0.76,0.50,0.58,0.53,0.51,0.32,0.35,0.26,0.28,0.58,0.67,0.56,0.58,0.83,0.82,0.75,0.70
Surface downwelling shortwave radiation,rsds,∆W/m²,6.13,22.84,7.73,31.73,8.90,38.01,5.49,42.78,5.65,29.79,1.83,26.76,3.91,20.59,9.33,20.99,3.00,31.13,1.37,33.36,1.19,22.51,-2.01,22.51
Total cloud cover percentage,clt,∆%,-8.45,20.94,-8.10,23.77,-5.08,23.89,-7.22,22.15,-9.90,15.25,-4.39,15.50,-5.74,12.48,-9.38,12.95,-6.82,19.44,-6.56,23.02,-3.41,19.17,0.87,17.85
Snow depth,snd,fraction,0.08,1.01,0.94,0.96,0.91,0.93,0.94,0.99,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.91,0.92,0.91,0.92
Near surface specific humidity,huss,∆kg/kg,0.000806,0.001277,0.000713,0.001519,0.001116,0.001288,0.001097,0.001246,0.001011,0.001462,0.002048,0.001488,0.001885,0.001468,0.002019,0.001620,0.002432,0.001852,0.002200,0.001923,0.001552,0.001835,0.001305,0.001598
Air pressure at mean sea level,psl,∆hPa,0.34,6.67,0.52,6.44,0.29,5.59,-0.84,3.87,-0.25,3.08,-1.58,2.10,-2.10,1.92,-1.74,1.82,-1.90,2.28,-0.05,3.68,-0.25,5.92,0.18,6.52
Near surface wind speed,sfcWind,fraction,0.9728,0.4144,0.9607,0.4079,1.0407,0.4113,1.0163,0.3996,1.0266,0.3844,0.9303,0.3406,0.9606,0.3114,0.9810,0.3384,0.9509,0.3906,1.0053,0.4530,1.0606,0.4104,0.9952,0.4329
