# GISS_E2_2_G ssp370 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,2.53,1.82,2.47,2.91,2.67,3.26,2.96,3.05,3.66,3.29,3.75,3.03,4.33,2.53,3.91,2.53,3.06,2.48,2.74,2.96,2.40,2.66,2.96,2.66
Daily maximum near surface air temperature,tasmax,∆°C,2.81,2.03,2.47,3.61,2.70,3.76,2.92,3.43,3.69,3.74,3.64,3.30,4.36,2.69,3.79,2.82,2.88,2.61,2.68,3.21,2.52,2.92,3.20,2.54
Daily minimum near surface air temperature,tasmin,∆°C,2.47,2.08,2.37,2.91,2.66,3.04,2.86,2.88,3.46,3.02,3.74,2.81,4.37,2.60,3.89,2.48,3.11,2.61,2.70,3.01,2.28,2.86,2.86,3.15
Precipitation,pr,fraction,0.76,0.75,0.82,0.91,0.88,0.90,0.73,0.82,0.54,0.59,0.67,0.86,0.50,0.71,0.35,0.41,0.88,0.97,0.74,0.83,0.64,0.64,0.96,1.01
Surface downwelling shortwave radiation,rsds,∆W/m²,6.76,17.25,5.03,26.87,3.01,30.26,6.46,38.84,8.98,41.73,8.64,44.16,4.85,33.60,5.94,33.53,2.26,31.88,3.44,27.11,9.13,23.64,3.37,23.64
Total cloud cover percentage,clt,∆%,-5.69,17.94,-5.03,25.26,0.62,19.85,-8.85,19.47,-6.85,22.15,-7.37,21.89,-5.59,17.68,-6.90,21.46,-3.65,20.88,-3.50,20.22,-8.48,24.35,-2.47,19.74
Snow depth,snd,fraction,0.90,0.98,0.87,0.93,0.91,0.91,0.92,0.93,0.91,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.91,1.00,0.92,0.93,0.56,0.94
Near surface specific humidity,huss,∆kg/kg,0.000847,0.001027,0.000678,0.001186,0.000746,0.000877,0.000625,0.001162,0.000590,0.001243,0.001017,0.001573,0.001380,0.001688,0.001437,0.001551,0.001404,0.001919,0.001187,0.001546,0.000720,0.001404,0.001148,0.001379
Air pressure at mean sea level,psl,∆hPa,0.65,6.83,-0.17,7.15,-0.69,5.69,-0.38,4.40,-0.35,2.76,-0.84,2.39,-1.61,1.83,-1.44,1.85,-1.02,2.13,-0.91,3.70,0.66,5.09,-0.61,6.04
Near surface wind speed,sfcWind,fraction,0.9977,0.4218,1.0278,0.4402,1.0314,0.3661,0.9920,0.3469,1.0113,0.3649,0.9989,0.3420,1.0085,0.3281,0.9936,0.3423,0.9568,0.3420,0.9482,0.3763,1.0302,0.4089,1.0122,0.4378
