# MIROC6 ssp126 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,0.53,2.21,0.73,2.06,1.11,2.59,1.41,3.36,1.21,4.88,2.54,4.46,1.74,3.11,1.56,2.90,2.42,3.51,2.24,3.07,1.09,2.41,0.60,2.05
Daily maximum near surface air temperature,tasmax,∆°C,0.69,2.28,0.88,2.47,1.59,3.81,1.98,5.02,1.43,6.72,3.19,5.51,2.03,3.64,1.79,3.43,2.92,4.44,2.93,4.33,1.24,3.49,0.61,2.01
Daily minimum near surface air temperature,tasmin,∆°C,0.39,2.71,0.63,2.36,0.73,2.13,0.94,2.23,1.05,3.39,2.05,3.56,1.51,2.67,1.45,2.61,2.08,2.86,1.76,2.44,1.02,2.01,0.59,2.39
Precipitation,pr,fraction,1.00,1.10,0.97,1.05,0.80,0.76,0.87,0.83,1.20,1.35,0.73,0.95,1.02,1.18,0.99,1.25,0.61,0.73,0.57,0.57,1.00,1.08,1.13,1.09
Surface downwelling shortwave radiation,rsds,∆W/m²,3.25,33.00,2.51,35.95,10.77,40.99,12.39,43.49,1.65,43.48,9.53,24.05,2.78,30.13,2.77,26.17,6.05,21.45,8.78,29.57,2.70,22.93,1.08,22.93
Total cloud cover percentage,clt,∆%,-1.29,30.02,-0.13,26.16,-5.62,20.72,-3.85,19.32,0.39,15.63,-2.73,9.18,-1.71,12.64,-2.59,11.56,-3.67,9.57,-4.84,18.70,-1.34,20.43,0.26,23.33
Snow depth,snd,fraction,0.86,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.89,1.00
Near surface specific humidity,huss,∆kg/kg,0.000182,0.001621,0.000244,0.001650,0.000066,0.001467,0.000014,0.001639,0.000297,0.001370,0.000213,0.001557,0.000198,0.001532,0.000540,0.001892,0.000422,0.001942,-0.000090,0.001774,0.000175,0.001470,0.000114,0.001560
Air pressure at mean sea level,psl,∆hPa,0.19,8.72,0.18,7.57,0.21,4.71,-0.15,3.38,-0.01,2.06,-0.57,1.81,-0.23,1.81,-0.78,1.90,0.11,2.21,0.40,2.74,-0.35,4.72,-0.14,6.71
Near surface wind speed,sfcWind,fraction,0.9843,0.4446,0.9970,0.4103,0.9945,0.3810,0.9824,0.3498,1.0200,0.3333,0.9999,0.3430,1.0316,0.3943,1.0449,0.3583,1.0182,0.3658,0.9786,0.4149,0.9741,0.4372,1.0300,0.4477
