# MIROC_ES2H ssp126 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.17,2.32,0.56,2.12,0.64,2.78,1.09,3.47,2.04,4.24,3.38,4.02,2.79,3.78,1.81,3.19,2.28,3.09,1.14,3.22,1.13,2.53,1.00,2.46
Daily maximum near surface air temperature,tasmax,∆°C,1.31,2.19,1.01,2.45,0.87,4.35,1.63,5.24,2.82,6.04,4.05,5.24,3.28,4.36,1.99,3.86,3.04,4.04,1.22,5.00,1.93,3.30,1.30,2.51
Daily minimum near surface air temperature,tasmin,∆°C,1.07,2.82,0.25,2.50,0.43,2.15,0.70,2.39,1.40,2.94,2.71,2.98,2.33,3.22,1.66,2.62,1.66,2.48,1.06,2.35,0.59,2.45,0.83,2.82
Precipitation,pr,fraction,1.04,1.04,0.85,0.78,0.96,0.93,0.89,0.78,0.77,0.84,0.50,0.65,0.58,0.67,1.02,1.40,0.47,0.55,1.10,1.10,0.60,0.57,0.94,0.92
Surface downwelling shortwave radiation,rsds,∆W/m²,-0.57,27.37,9.65,34.64,3.69,45.46,8.78,42.62,17.10,47.56,10.15,38.70,5.84,26.78,-2.54,27.48,11.50,23.36,0.73,35.91,12.61,21.69,3.59,21.69
Total cloud cover percentage,clt,∆%,1.72,23.59,-3.81,25.58,-0.90,23.88,-2.00,17.99,-4.59,15.08,-3.25,14.14,-1.29,11.33,0.73,11.60,-4.83,12.74,0.26,23.28,-8.78,18.69,-2.70,23.64
Snow depth,snd,fraction,1.19,1.68,0.11,0.96,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.39,1.00,0.90,0.90
Near surface specific humidity,huss,∆kg/kg,0.000223,0.001552,-0.000160,0.001540,-0.000033,0.001495,-0.000047,0.001526,-0.000185,0.001715,-0.000260,0.001940,-0.000165,0.001520,0.000120,0.001813,-0.000154,0.001568,0.000231,0.002201,-0.000347,0.001498,0.000046,0.001582
Air pressure at mean sea level,psl,∆hPa,-0.55,7.14,0.68,7.80,-0.29,6.02,0.26,3.61,-0.20,2.21,-0.41,1.99,-0.25,1.63,-0.46,1.42,-0.36,1.65,-0.37,3.26,2.02,5.09,0.58,7.20
Near surface wind speed,sfcWind,fraction,0.9883,0.4658,0.9775,0.3953,0.9946,0.4145,0.9747,0.3916,1.0442,0.3808,1.0374,0.3809,1.0560,0.3800,1.0501,0.3650,0.9951,0.3426,1.0217,0.4169,0.9855,0.4168,0.9957,0.4685
