# MIROC_ES2L ssp370 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.76,2.90,2.51,2.58,1.61,2.74,3.00,2.68,4.26,3.76,3.91,4.10,4.49,2.69,3.90,2.74,4.62,3.28,3.81,3.04,3.24,2.66,2.60,2.88
Daily maximum near surface air temperature,tasmax,∆°C,2.30,2.68,3.01,3.03,1.87,3.51,3.56,3.70,4.96,4.88,4.22,4.91,4.90,3.10,4.10,3.20,5.09,4.06,4.46,4.11,3.91,3.02,2.89,2.82
Daily minimum near surface air temperature,tasmin,∆°C,1.45,3.43,2.20,3.04,1.38,2.84,2.37,2.02,3.47,2.69,3.53,3.25,4.09,2.25,3.81,2.33,4.23,2.71,3.24,2.29,2.80,2.83,2.51,3.42
Precipitation,pr,fraction,0.71,0.58,0.83,0.73,0.98,0.87,0.77,0.67,0.76,0.80,0.53,0.68,0.54,0.71,0.95,1.18,0.52,0.61,0.65,0.64,0.64,0.57,0.85,0.78
Surface downwelling shortwave radiation,rsds,∆W/m²,9.62,21.06,3.49,33.15,5.15,44.00,6.08,38.69,9.90,35.78,2.67,29.12,-9.14,29.04,-1.51,27.61,5.96,26.23,6.94,24.88,5.43,23.41,4.54,23.41
Total cloud cover percentage,clt,∆%,-9.46,20.44,-3.98,23.55,-4.57,24.13,-6.88,17.70,-8.44,18.20,-2.16,11.91,0.08,9.88,-3.30,11.25,-8.04,11.89,-8.49,16.86,-7.58,22.33,-5.35,25.79
Snow depth,snd,fraction,0.99,1.00,0.04,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.99,1.00
Near surface specific humidity,huss,∆kg/kg,0.000533,0.001664,0.000820,0.001749,0.000415,0.001917,0.000463,0.001473,0.000866,0.001581,0.000516,0.001978,0.000845,0.001565,0.001350,0.001437,0.000831,0.001629,0.000794,0.001457,0.000944,0.001698,0.000926,0.001748
Air pressure at mean sea level,psl,∆hPa,2.01,7.99,0.75,7.26,0.51,7.73,0.18,4.03,-0.68,2.51,-0.50,1.99,-0.67,1.95,-0.66,1.90,-0.64,2.29,0.69,3.62,0.80,6.25,1.02,8.46
Near surface wind speed,sfcWind,fraction,0.8592,0.4160,0.8686,0.3974,0.9748,0.4122,1.0209,0.3534,0.9857,0.3889,0.9970,0.4193,0.9586,0.3859,0.9914,0.4069,0.9810,0.3807,0.9350,0.3443,0.9333,0.4578,0.9683,0.5068
