# MRI_ESM2_0 ssp126 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,0.35,2.80,0.25,3.07,0.07,3.03,0.51,2.99,1.45,3.57,2.09,3.19,2.07,4.15,3.05,3.39,2.08,3.38,0.85,3.21,0.69,2.63,0.63,2.60
Daily maximum near surface air temperature,tasmax,∆°C,0.36,2.54,0.02,3.50,0.15,4.05,0.64,3.68,1.91,4.51,2.36,4.03,2.24,5.27,3.52,4.50,2.42,4.33,0.64,4.55,0.68,3.05,0.59,2.52
Daily minimum near surface air temperature,tasmin,∆°C,0.23,3.09,0.39,3.15,-0.10,2.78,0.37,2.79,1.04,2.83,1.84,2.53,1.97,3.16,2.58,2.53,1.80,2.80,0.99,2.60,0.67,2.76,0.60,2.80
Precipitation,pr,fraction,1.38,1.47,1.13,1.45,0.88,1.11,0.76,0.77,0.53,0.56,0.87,1.00,0.94,1.18,0.45,0.60,0.96,1.19,1.16,1.27,0.90,0.92,1.40,1.40
Surface downwelling shortwave radiation,rsds,∆W/m²,0.70,30.21,-7.57,38.81,6.19,49.62,6.85,40.89,14.80,44.04,8.93,32.89,4.00,19.93,5.43,20.82,3.79,26.34,-5.06,33.57,2.03,25.86,-2.57,25.86
Total cloud cover percentage,clt,∆%,1.20,31.35,10.22,34.40,-0.67,33.73,-3.89,24.42,-7.69,20.12,-0.49,18.16,-0.35,14.65,-2.31,15.90,-0.99,21.96,4.19,27.17,1.41,25.88,6.40,27.24
Snow depth,snd,fraction,0.96,1.00,1.35,7.27,1.35,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.96,0.97
Near surface specific humidity,huss,∆kg/kg,0.000179,0.001677,0.000203,0.001357,-0.000118,0.001408,0.000016,0.001358,0.000067,0.001225,0.000758,0.001986,0.000821,0.002313,0.000099,0.002199,0.000180,0.001993,0.000712,0.001927,0.000454,0.001347,0.000423,0.001518
Air pressure at mean sea level,psl,∆hPa,-1.42,10.89,-1.59,11.93,1.13,10.49,1.18,4.96,0.87,3.96,-0.52,2.27,-0.49,2.19,-0.24,2.20,0.04,3.16,-0.34,5.56,-0.62,7.07,-1.95,9.27
Near surface wind speed,sfcWind,fraction,1.0671,0.4619,1.0680,0.5389,1.0053,0.4290,0.9942,0.3704,1.0042,0.3426,0.9953,0.3228,0.9918,0.3822,0.9932,0.3596,0.9956,0.3205,1.0065,0.3942,0.9789,0.4042,1.0726,0.5126
