# UKESM1_0_LL ssp585 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.96,2.68,2.55,2.13,2.60,1.98,3.23,3.07,3.81,2.16,3.30,2.80,3.50,3.20,2.84,2.89,3.34,2.79,3.41,2.85,2.74,2.66,2.23,3.02
Daily maximum near surface air temperature,tasmax,∆°C,2.30,2.61,2.99,2.69,3.25,3.26,4.11,4.78,4.67,3.25,4.00,3.76,3.58,3.70,3.03,3.31,3.49,3.57,4.20,3.68,3.68,3.24,3.00,2.78
Daily minimum near surface air temperature,tasmin,∆°C,1.74,3.20,2.24,3.00,2.02,2.22,2.42,2.52,2.87,2.03,2.40,2.61,3.35,3.20,2.58,2.86,3.15,2.88,2.80,3.75,2.12,3.36,1.79,3.75
Precipitation,pr,fraction,0.73,0.90,0.76,1.01,0.63,0.84,0.77,0.84,0.69,0.79,0.66,0.86,0.74,1.22,0.38,0.62,0.77,1.00,0.54,0.64,0.48,0.53,0.76,0.87
Surface downwelling shortwave radiation,rsds,∆W/m²,5.37,27.56,5.33,42.76,12.02,38.53,18.70,46.92,13.96,33.29,8.19,26.80,1.81,21.33,7.39,15.04,5.42,16.75,9.61,23.90,9.49,22.52,7.27,22.52
Total cloud cover percentage,clt,∆%,-4.48,32.72,-2.30,36.34,-8.48,26.06,-9.09,22.59,-10.04,17.48,-6.76,16.80,-4.69,17.30,-7.22,11.28,-8.29,19.01,-12.43,20.43,-11.77,24.18,-10.79,31.16
Snow depth,snd,fraction,0.40,0.88,0.45,1.00,0.89,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.55,1.00
Near surface specific humidity,huss,∆kg/kg,0.000678,0.001529,0.000978,0.001526,0.000643,0.001429,0.000864,0.001751,0.000877,0.001511,0.000763,0.001974,0.001264,0.001898,0.001067,0.001570,0.001539,0.001924,0.001463,0.002659,0.001114,0.002110,0.000784,0.001859
Air pressure at mean sea level,psl,∆hPa,-0.77,8.01,-0.13,9.69,0.15,6.68,0.60,4.91,-1.09,3.30,-1.05,2.20,-0.83,1.89,-1.51,1.72,-0.16,1.72,0.20,3.56,1.19,4.88,0.35,7.21
Near surface wind speed,sfcWind,fraction,0.9318,0.4690,0.8711,0.4613,0.9604,0.4016,0.9399,0.4026,0.9926,0.3705,1.0271,0.3615,1.0105,0.3216,1.0036,0.3013,0.9513,0.3462,0.9391,0.3554,0.8508,0.4020,0.9313,0.4467
