# CAS_ESM2_0 ssp126 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.93,2.03,1.52,2.01,1.62,2.02,2.01,2.24,2.26,1.85,1.85,2.19,2.08,1.86,1.99,1.90,1.99,2.04,2.02,1.84,2.13,1.43,1.68,1.69
Daily maximum near surface air temperature,tasmax,∆°C,1.96,2.09,1.50,2.01,1.65,2.13,2.06,2.39,2.29,1.92,1.88,2.20,2.14,1.87,1.97,1.87,2.00,2.09,2.07,2.02,2.10,1.51,1.68,1.77
Daily minimum near surface air temperature,tasmin,∆°C,1.92,2.01,1.55,2.06,1.62,1.95,1.93,2.09,2.23,1.76,1.83,2.21,2.07,1.93,2.02,1.97,1.97,1.93,1.96,1.70,2.18,1.42,1.71,1.71
Precipitation,pr,fraction,1.13,1.10,0.87,0.84,0.82,0.79,0.74,0.69,0.79,0.79,0.78,1.11,1.37,2.33,1.20,1.62,0.87,1.05,0.87,0.91,1.07,1.00,0.94,0.91
Surface downwelling shortwave radiation,rsds,∆W/m²,3.16,26.77,5.66,36.57,11.00,39.52,12.74,37.92,8.31,28.48,4.80,24.96,4.51,19.07,0.22,17.49,6.36,26.12,9.60,34.01,3.23,27.66,7.36,27.66
Total cloud cover percentage,clt,∆%,2.04,22.86,-2.18,24.52,-4.63,20.28,-5.33,18.95,-0.46,13.31,-0.02,12.77,-1.29,7.43,3.77,13.28,0.60,15.17,-2.17,21.01,-1.20,18.21,-4.31,20.70
Snow depth,snd,fraction,1.00,1.00,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Near surface specific humidity,huss,∆kg/kg,0.000980,0.001388,0.000523,0.001621,0.000653,0.001402,0.000989,0.001502,0.001364,0.001341,0.001461,0.002154,0.001920,0.002112,0.001958,0.002321,0.001572,0.001850,0.001180,0.001564,0.001402,0.001276,0.000722,0.001225
Air pressure at mean sea level,psl,∆hPa,-0.93,7.14,0.17,8.29,0.57,5.07,0.58,3.74,-0.76,1.90,-0.43,1.77,-0.30,1.70,-0.49,1.41,-0.53,1.74,0.27,3.85,0.19,6.53,0.35,7.37
Near surface wind speed,sfcWind,fraction,0.9934,0.4495,0.9533,0.4422,0.9404,0.4100,0.9571,0.4023,0.9585,0.3951,0.9098,0.3674,0.9643,0.4186,0.9780,0.3989,0.9529,0.4079,0.9590,0.4298,0.9472,0.4735,0.9857,0.4431
