# CMCC_ESM2 ssp370 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.82,2.27,2.38,2.72,2.30,3.50,2.31,3.98,2.98,3.93,2.55,3.64,2.34,2.95,2.04,2.93,2.72,2.46,2.62,3.13,2.76,2.58,1.97,1.89
Daily maximum near surface air temperature,tasmax,∆°C,1.85,2.47,2.48,3.50,2.24,4.55,2.21,4.79,2.86,4.53,2.52,4.06,2.37,3.33,2.19,3.27,2.76,2.69,2.60,3.58,2.67,2.69,1.78,2.01
Daily minimum near surface air temperature,tasmin,∆°C,1.79,2.42,2.29,2.67,2.34,2.88,2.45,3.33,3.03,3.41,2.60,3.25,2.41,2.62,1.95,2.63,2.69,2.37,2.65,2.84,2.76,2.76,2.05,2.22
Precipitation,pr,fraction,0.76,1.09,0.71,0.94,0.78,1.09,0.83,0.87,0.80,0.85,0.69,0.84,1.00,1.60,0.30,0.50,1.16,1.39,0.73,0.91,0.62,0.66,0.93,1.10
Surface downwelling shortwave radiation,rsds,∆W/m²,4.18,20.05,5.69,32.45,6.30,43.59,3.62,42.40,0.98,35.25,3.34,31.22,-5.58,20.32,-1.30,13.40,-3.64,21.82,3.22,23.02,4.47,18.24,2.71,18.24
Total cloud cover percentage,clt,∆%,-1.59,25.24,-2.50,27.56,-3.09,29.25,-1.20,20.82,-2.96,15.47,-4.23,14.90,-0.12,10.02,-1.27,8.64,-3.81,15.94,-6.23,20.31,-3.87,23.77,-4.01,27.00
Snow depth,snd,fraction,0.80,0.92,0.92,1.00,0.92,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.92,1.00,1.38,1.00
Near surface specific humidity,huss,∆kg/kg,0.000466,0.001437,0.000243,0.001768,0.000173,0.001917,0.000281,0.001863,0.000475,0.001681,0.000445,0.002192,0.001306,0.002125,0.001044,0.001672,0.001077,0.002110,0.000696,0.001681,0.000797,0.001599,0.000631,0.001323
Air pressure at mean sea level,psl,∆hPa,-0.50,5.45,0.16,8.05,0.40,6.34,-1.18,3.70,-0.56,2.26,-0.20,1.37,-0.49,1.79,-0.97,1.96,-0.57,1.67,-0.00,3.17,0.73,5.22,-0.57,6.57
Near surface wind speed,sfcWind,fraction,1.0184,0.3979,0.9824,0.4053,1.0667,0.4396,1.0225,0.3496,1.0035,0.3362,1.0361,0.3667,1.0083,0.3114,1.0033,0.3210,0.9908,0.3198,0.9822,0.3865,0.9573,0.3703,1.0054,0.3852
