# CNRM_CM6_1_HR ssp245 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,2.02,2.43,2.32,2.39,1.96,2.79,2.67,3.03,3.19,4.48,4.74,3.52,3.99,2.83,3.67,2.51,3.67,2.89,2.80,2.84,2.29,2.57,2.07,2.14
Daily maximum near surface air temperature,tasmax,∆°C,1.95,2.65,2.47,2.84,2.18,3.47,3.08,4.31,3.53,5.77,5.30,4.56,4.39,3.49,3.97,3.11,4.02,3.95,2.80,3.94,2.48,2.99,1.73,2.02
Daily minimum near surface air temperature,tasmin,∆°C,1.98,2.84,2.21,2.96,1.77,3.05,2.28,2.26,2.95,3.35,4.28,2.68,3.74,2.30,3.53,2.19,3.36,2.20,2.79,2.37,2.11,2.81,2.21,2.67
Precipitation,pr,fraction,1.07,1.13,0.86,0.90,0.89,0.87,0.85,0.78,0.76,0.82,0.39,0.45,0.45,0.66,0.47,0.62,0.60,0.65,0.79,0.75,0.90,0.83,1.26,1.22
Surface downwelling shortwave radiation,rsds,∆W/m²,0.24,26.59,1.23,38.04,4.64,41.00,14.17,44.43,9.37,43.07,14.41,35.63,7.08,25.86,7.06,25.34,11.85,29.26,2.66,30.11,4.40,22.84,-4.06,22.84
Total cloud cover percentage,clt,∆%,2.79,25.43,0.80,29.72,-0.78,24.59,-5.62,21.63,-1.88,16.68,-4.79,14.61,-2.37,14.87,-2.98,17.15,-7.03,19.35,-0.54,21.76,-3.96,23.53,4.21,21.51
Snow depth,snd,fraction,6.39,21.76,0.45,1.00,9.06,11.77,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.57
Near surface specific humidity,huss,∆kg/kg,0.000829,0.001276,0.000845,0.001435,0.000436,0.001589,0.000450,0.001365,0.000652,0.001579,0.000548,0.001809,0.000845,0.001581,0.001054,0.001766,0.000715,0.001940,0.001000,0.002047,0.000663,0.001734,0.000922,0.001358
Air pressure at mean sea level,psl,∆hPa,1.10,8.67,1.83,9.21,0.58,7.61,0.89,5.26,0.04,3.34,-0.63,2.35,-0.51,1.51,-0.99,1.71,0.29,2.52,0.13,4.42,0.91,6.10,-0.39,6.82
Near surface wind speed,sfcWind,fraction,0.9930,0.4996,0.9704,0.4979,0.9988,0.4956,0.9281,0.4124,1.0373,0.3772,1.0217,0.3809,1.0470,0.3277,1.0456,0.3659,0.9741,0.3707,0.9423,0.3943,0.9691,0.4323,1.0322,0.5503
