# CNRM_CM6_1 ssp245 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.29,2.20,1.05,2.49,1.26,2.66,1.38,3.76,2.42,3.65,3.20,3.25,2.26,2.73,3.09,2.25,3.37,2.67,2.46,2.95,1.14,1.89,0.92,2.90
Daily maximum near surface air temperature,tasmax,∆°C,1.50,2.21,1.04,2.79,1.43,3.65,1.71,4.94,2.75,4.51,3.53,4.10,2.47,3.43,3.36,2.76,3.57,3.40,2.37,3.79,1.66,2.24,1.23,2.79
Daily minimum near surface air temperature,tasmin,∆°C,1.19,2.87,1.02,3.03,1.11,2.63,0.98,2.98,2.06,2.97,3.02,2.48,2.19,2.25,2.93,2.08,3.21,2.19,2.60,2.59,0.78,2.28,0.67,3.39
Precipitation,pr,fraction,0.82,0.84,1.06,1.14,0.89,0.91,0.64,0.61,0.66,0.69,0.93,1.18,1.22,1.94,1.83,2.76,0.87,0.94,1.07,0.98,0.67,0.64,0.74,0.69
Surface downwelling shortwave radiation,rsds,∆W/m²,3.86,28.67,-1.64,38.87,2.93,39.69,17.51,41.56,9.54,38.20,11.05,35.81,8.19,30.81,5.70,24.12,7.92,25.70,1.57,28.55,13.11,26.35,5.54,26.35
Total cloud cover percentage,clt,∆%,1.91,29.85,1.34,29.96,0.50,28.71,-8.22,20.24,-2.31,17.67,-1.79,15.02,-3.62,15.16,-3.28,17.95,-1.51,15.75,-1.24,25.35,-10.58,27.44,-6.93,28.63
Snow depth,snd,fraction,0.00,0.00,1.47,3.81,0.35,0.78,0.98,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.96,1.00,9.58,10235.03,0.05,0.14
Near surface specific humidity,huss,∆kg/kg,0.000382,0.001342,0.000361,0.001577,0.000163,0.001413,-0.000131,0.001414,0.000022,0.001391,0.000613,0.001770,0.000787,0.001807,0.000930,0.001739,0.000888,0.001718,0.001364,0.001956,0.000050,0.001336,0.000164,0.001492
Air pressure at mean sea level,psl,∆hPa,2.27,10.97,0.23,9.21,1.37,6.87,1.32,5.23,0.51,3.76,-0.25,2.08,-0.29,1.85,-0.28,1.61,0.40,2.16,0.46,4.20,2.19,6.74,3.09,7.08
Near surface wind speed,sfcWind,fraction,1.0072,0.4717,1.0128,0.5191,1.0182,0.4561,0.9688,0.3765,1.0195,0.3929,1.0682,0.3774,1.0566,0.3944,0.9985,0.3109,0.9716,0.4026,0.9801,0.4084,0.9333,0.4179,1.0053,0.4241
