# CNRM_ESM2_1 ssp126 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,0.55,2.54,0.74,2.71,0.57,2.60,1.79,3.62,2.33,4.84,3.36,3.67,2.21,2.63,1.59,2.18,1.96,2.58,1.87,3.02,1.22,2.62,0.40,2.57
Daily maximum near surface air temperature,tasmax,∆°C,0.76,2.28,1.00,2.98,0.75,3.59,2.11,4.82,2.75,6.12,3.53,4.13,2.27,3.10,1.74,2.67,1.82,3.44,1.94,3.96,0.95,3.11,0.73,2.41
Daily minimum near surface air temperature,tasmin,∆°C,0.35,3.18,0.55,3.20,0.43,2.72,1.61,2.99,1.89,3.90,3.30,3.50,2.25,2.42,1.46,1.99,2.23,2.10,1.88,2.65,1.49,3.25,0.23,3.19
Precipitation,pr,fraction,0.90,0.92,0.94,1.02,0.90,0.94,0.83,0.80,0.52,0.59,0.63,0.80,1.35,2.11,0.41,0.60,1.40,1.77,0.81,0.84,0.99,1.00,0.73,0.71
Surface downwelling shortwave radiation,rsds,∆W/m²,3.99,28.32,7.09,35.82,5.19,42.85,11.56,41.20,20.63,44.04,12.84,33.70,7.33,25.27,12.73,30.43,-2.64,29.06,5.34,26.80,-0.96,32.73,6.69,32.73
Total cloud cover percentage,clt,∆%,-1.94,30.53,-4.93,28.64,-3.38,26.82,0.45,21.45,-2.82,20.60,-3.55,18.72,-1.44,15.88,-4.73,15.04,1.90,16.82,-1.63,22.10,3.44,27.61,-4.92,27.72
Snow depth,snd,fraction,0.13,0.33,0.02,0.04,9.64,571.90,0.00,0.96,0.96,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.96,1.00,0.95,0.16,0.16,0.43
Near surface specific humidity,huss,∆kg/kg,0.000113,0.001421,0.000091,0.001547,-0.000143,0.001337,-0.000009,0.001434,-0.000477,0.001941,-0.000090,0.002108,0.000359,0.001924,0.000215,0.001725,0.000966,0.002205,0.000683,0.001701,0.000567,0.001788,0.000002,0.001427
Air pressure at mean sea level,psl,∆hPa,1.03,9.42,2.49,9.03,0.50,7.51,0.27,5.06,0.29,2.86,-0.26,2.32,-0.60,1.72,-0.45,1.56,0.15,2.33,1.43,4.04,0.57,7.30,1.83,7.44
Near surface wind speed,sfcWind,fraction,0.9630,0.4679,1.0165,0.5145,1.0213,0.4783,1.0234,0.4364,1.0490,0.4380,1.1762,0.5312,1.0080,0.3873,1.0025,0.3307,1.0199,0.4112,1.0106,0.4518,1.0012,0.4670,0.9545,0.4632
