# CanESM5_1 ssp126 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.96,2.20,1.09,2.05,1.06,2.95,1.79,2.63,1.77,3.84,2.31,3.54,2.59,2.71,2.67,1.92,2.69,2.48,2.62,2.79,2.12,2.27,1.83,1.99
Daily maximum near surface air temperature,tasmax,∆°C,1.75,2.88,0.57,3.02,0.64,4.18,2.13,3.79,1.93,5.21,2.42,4.44,2.67,3.55,2.95,2.66,3.01,3.44,3.04,3.85,2.64,2.77,1.90,2.21
Daily minimum near surface air temperature,tasmin,∆°C,2.14,2.47,1.58,2.34,1.41,2.60,1.43,2.19,1.59,2.68,2.13,3.10,2.43,2.43,2.15,2.03,2.13,2.09,2.39,2.64,1.77,2.50,1.71,2.48
Precipitation,pr,fraction,1.38,1.59,1.67,2.28,2.04,2.54,1.17,1.42,1.06,1.31,0.95,1.19,0.75,0.90,0.64,0.77,0.65,0.64,0.81,0.85,0.73,0.84,1.19,1.39
Surface downwelling shortwave radiation,rsds,∆W/m²,-3.29,28.45,-5.81,39.34,-6.34,38.30,11.20,45.08,6.31,32.73,8.70,27.50,5.65,24.70,2.79,16.36,8.80,24.47,6.76,26.48,7.18,23.00,0.62,23.00
Total cloud cover percentage,clt,∆%,7.32,30.93,6.12,36.41,5.56,28.27,0.67,25.18,-2.81,18.64,-2.62,13.29,-3.01,16.09,-2.37,11.09,-4.75,19.65,-3.34,22.36,-5.20,25.21,1.65,30.33
Snow depth,snd,fraction,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Near surface specific humidity,huss,∆kg/kg,0.000963,0.001290,0.000696,0.001478,0.000751,0.001365,0.000341,0.001566,0.000573,0.001207,0.000917,0.001870,0.001138,0.001638,0.000989,0.001499,0.000867,0.001568,0.001088,0.001797,0.000747,0.001453,0.000800,0.001327
Air pressure at mean sea level,psl,∆hPa,-2.62,7.15,-2.79,8.74,-1.97,6.21,-0.52,4.71,-0.18,2.83,-0.31,1.92,-0.60,1.69,-0.90,1.93,-0.04,2.78,0.19,4.14,-0.06,5.58,-2.00,8.54
Near surface wind speed,sfcWind,fraction,1.0500,0.5398,1.0843,0.5086,1.0565,0.4782,0.9364,0.3734,0.9485,0.3753,0.9542,0.3747,0.9894,0.3735,0.9526,0.4094,0.9670,0.4305,0.9364,0.4035,0.9177,0.4238,0.9851,0.5258
