# CanESM5_CanOE ssp245 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.53,2.14,1.11,2.03,1.25,2.66,1.50,3.53,1.50,3.50,2.65,3.58,3.14,2.75,3.41,2.57,3.12,2.34,2.44,2.61,2.12,1.92,1.50,2.19
Daily maximum near surface air temperature,tasmax,∆°C,1.27,2.13,0.81,3.13,1.29,4.05,1.40,4.89,1.49,4.45,2.69,4.41,3.20,3.88,3.52,3.35,2.91,3.50,2.57,3.48,2.37,2.72,1.66,2.21
Daily minimum near surface air temperature,tasmin,∆°C,1.68,2.74,1.42,2.11,1.18,2.16,1.66,2.54,1.54,3.01,2.63,3.09,3.08,2.15,3.10,2.54,3.35,2.10,2.46,2.73,2.04,2.22,1.58,2.77
Precipitation,pr,fraction,1.73,2.11,1.77,2.27,1.07,1.38,1.02,1.08,0.81,0.96,1.02,1.29,0.96,1.19,0.86,1.08,1.00,1.03,0.79,0.91,0.77,0.81,1.04,1.17
Surface downwelling shortwave radiation,rsds,∆W/m²,-5.32,28.12,-5.34,37.98,1.65,41.67,3.15,34.98,5.09,43.72,7.75,24.50,2.26,22.68,-0.07,16.90,0.46,24.57,1.98,31.64,6.92,26.08,4.71,26.08
Total cloud cover percentage,clt,∆%,3.50,30.36,4.43,32.82,0.46,28.25,-3.22,21.17,-3.96,19.46,-4.71,12.02,-3.54,10.01,-2.28,12.56,-2.46,19.10,-2.23,26.27,-4.45,25.49,-4.11,29.99
Snow depth,snd,fraction,0.05,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05,1.00
Near surface specific humidity,huss,∆kg/kg,0.000791,0.001351,0.000698,0.001445,0.000838,0.001377,0.000498,0.001244,0.000824,0.001676,0.001213,0.002222,0.001430,0.002299,0.001282,0.001694,0.001821,0.002006,0.001371,0.001888,0.000870,0.001366,0.000579,0.001408
Air pressure at mean sea level,psl,∆hPa,-1.91,8.82,-2.57,8.20,-2.05,6.47,-1.20,4.17,-0.35,2.99,-1.00,2.23,-1.36,1.83,-1.78,2.32,-1.16,2.46,-0.53,3.61,-0.06,5.47,-0.27,7.88
Near surface wind speed,sfcWind,fraction,1.0893,0.5482,1.0927,0.5698,0.8999,0.4097,1.0295,0.4252,0.9923,0.3847,0.9431,0.3984,0.9587,0.3939,0.9350,0.3688,1.0148,0.4306,0.9043,0.3800,0.9449,0.4324,0.9692,0.4966
