# CanESM5 ssp245 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.52,2.10,1.76,2.11,2.26,2.81,1.63,3.00,1.96,2.86,2.52,3.41,2.89,3.23,2.92,2.24,3.42,2.15,2.78,2.55,2.00,1.98,1.80,2.03
Daily maximum near surface air temperature,tasmax,∆°C,1.56,2.49,1.53,3.16,2.40,4.24,1.56,4.46,1.86,3.80,2.51,4.33,2.93,4.10,2.82,3.04,3.38,3.11,2.71,3.51,1.85,2.74,1.72,2.25
Daily minimum near surface air temperature,tasmin,∆°C,1.55,2.67,2.13,2.48,2.23,2.09,1.79,2.21,2.03,2.20,2.57,2.85,2.66,2.75,2.82,2.10,3.23,2.20,2.86,2.67,2.23,2.33,1.83,2.37
Precipitation,pr,fraction,1.10,1.35,1.29,1.69,1.00,1.18,1.12,1.30,1.19,1.31,0.76,0.91,0.57,0.69,0.82,1.08,1.04,1.19,1.18,1.35,1.03,1.12,0.95,1.10
Surface downwelling shortwave radiation,rsds,∆W/m²,-0.51,30.16,-4.62,41.94,1.45,34.40,-3.79,35.75,3.53,31.70,4.97,24.42,3.80,19.51,1.77,18.43,-1.95,24.35,-0.80,31.44,-1.03,26.88,-0.15,26.88
Total cloud cover percentage,clt,∆%,1.18,31.79,1.75,35.94,-1.44,25.86,-0.22,23.03,-1.09,16.87,-5.45,14.31,-3.25,13.34,-3.00,12.34,0.22,21.00,-0.24,24.35,0.96,28.45,0.54,27.88
Snow depth,snd,fraction,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Near surface specific humidity,huss,∆kg/kg,0.000765,0.001399,0.000802,0.001541,0.000570,0.001310,0.000630,0.001250,0.000652,0.001413,0.000925,0.001997,0.000900,0.002227,0.001262,0.001882,0.001674,0.001984,0.001667,0.002284,0.001165,0.001460,0.000835,0.001342
Air pressure at mean sea level,psl,∆hPa,-2.16,8.74,-1.78,8.73,-1.68,7.25,-1.40,4.33,-0.39,2.61,-0.90,2.10,-1.22,2.06,-1.90,2.14,-1.13,2.80,-1.31,4.13,-1.25,5.64,-0.61,8.69
Near surface wind speed,sfcWind,fraction,0.9703,0.5011,1.0145,0.5138,0.9551,0.4239,0.9988,0.4173,0.9713,0.3966,0.9982,0.4009,1.0392,0.4035,1.0231,0.3959,0.9956,0.4399,0.9329,0.4041,0.9305,0.4379,0.9716,0.5124
