# EC_Earth3_Veg_LR ssp126 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,0.61,2.49,0.45,2.19,0.20,2.99,0.75,3.74,2.06,4.20,2.75,4.34,1.64,2.81,1.43,2.30,1.84,2.75,1.33,3.23,1.19,2.38,0.73,1.96
Daily maximum near surface air temperature,tasmax,∆°C,0.81,2.38,0.58,2.20,0.22,4.10,0.99,5.00,2.36,5.34,3.03,5.08,1.81,3.15,1.66,2.47,2.02,3.19,1.41,4.02,1.36,3.25,0.98,2.22
Daily minimum near surface air temperature,tasmin,∆°C,0.51,2.94,0.29,2.99,0.15,2.39,0.55,2.54,1.72,2.92,2.34,3.58,1.46,2.47,1.16,2.18,1.67,2.45,1.13,2.65,1.00,2.20,0.59,2.25
Precipitation,pr,fraction,1.02,1.07,0.77,0.80,1.05,1.13,0.97,1.00,0.87,0.90,0.68,0.90,0.28,0.48,2.22,4.70,0.82,1.12,0.91,0.90,0.97,0.97,1.06,1.12
Surface downwelling shortwave radiation,rsds,∆W/m²,4.03,22.15,8.08,36.66,4.22,37.43,6.59,45.39,9.92,46.55,15.08,29.97,9.78,15.10,6.39,12.64,8.01,19.76,6.44,23.62,4.36,20.62,3.94,20.62
Total cloud cover percentage,clt,∆%,-1.71,27.08,-3.65,33.87,0.52,26.56,0.10,24.72,-1.29,21.79,-7.03,16.57,-3.73,19.16,-2.92,15.76,-3.36,15.93,-2.62,22.41,-0.42,24.02,-1.49,24.46
Snow depth,snd,fraction,1.27,2.36,0.10,0.12,1.61,1.31,8.32,1.76,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.10,1.31,0.34,0.85
Near surface specific humidity,huss,∆kg/kg,0.000152,0.001280,0.000072,0.001418,0.000025,0.001312,0.000028,0.001476,0.000615,0.001753,0.000137,0.002066,-0.000085,0.001621,0.000034,0.001345,0.000396,0.002182,0.000054,0.002149,0.000391,0.001367,0.000218,0.001048
Air pressure at mean sea level,psl,∆hPa,-0.01,8.61,0.62,8.56,-0.40,6.23,-0.04,5.61,0.52,3.87,-0.12,1.90,-0.37,1.50,-0.48,1.64,0.02,2.04,-0.09,4.01,0.48,5.39,0.37,7.90
Near surface wind speed,sfcWind,fraction,0.9847,0.4330,0.9477,0.4024,0.9867,0.4152,0.9678,0.3711,0.9315,0.3245,0.9694,0.3262,1.0251,0.2648,0.9963,0.2783,0.9818,0.3241,0.9800,0.3809,0.9508,0.3930,0.9970,0.4445
