# EC_Earth3_Veg ssp126 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.20,2.77,0.47,2.44,0.80,2.56,1.40,3.64,2.10,4.16,2.23,3.98,1.38,3.60,1.52,2.17,1.44,2.95,1.92,3.65,1.27,2.58,0.95,2.65
Daily maximum near surface air temperature,tasmax,∆°C,1.16,2.52,0.65,2.95,1.06,3.72,1.70,4.81,2.46,5.02,2.43,4.62,1.47,4.11,1.61,2.34,1.39,3.48,2.17,4.60,1.10,3.18,0.86,2.78
Daily minimum near surface air temperature,tasmin,∆°C,1.31,3.27,0.34,2.86,0.53,1.81,1.01,2.53,1.62,3.22,2.04,3.33,1.36,3.09,1.44,2.00,1.54,2.36,1.61,2.67,1.36,2.61,0.98,3.05
Precipitation,pr,fraction,1.37,1.50,0.89,0.94,0.76,0.78,0.79,0.81,0.54,0.56,0.42,0.51,2.30,4.62,1.48,2.62,0.81,1.12,0.86,0.91,1.28,1.36,0.94,0.96
Surface downwelling shortwave radiation,rsds,∆W/m²,1.90,21.76,7.07,29.30,12.25,37.07,16.12,37.59,20.63,35.52,12.95,26.01,4.71,20.54,4.17,11.91,-0.20,20.90,6.89,25.54,-1.89,19.79,3.16,19.79
Total cloud cover percentage,clt,∆%,3.91,26.24,-3.18,32.14,-2.91,24.58,-5.45,20.41,-7.37,18.04,-4.03,17.25,0.30,17.05,-0.21,15.80,3.82,21.05,-2.89,20.14,4.12,22.74,-0.25,24.79
Snow depth,snd,fraction,0.19,0.45,0.41,0.80,0.43,0.70,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,5.84,1.00,0.02,0.27
Near surface specific humidity,huss,∆kg/kg,0.000463,0.001353,0.000109,0.001410,0.000038,0.001287,0.000015,0.001447,-0.000134,0.001746,-0.000197,0.002060,0.000376,0.001970,0.000281,0.001354,0.000762,0.001731,0.000368,0.001589,0.000570,0.001462,0.000451,0.001338
Air pressure at mean sea level,psl,∆hPa,-0.78,7.78,1.04,7.94,0.70,7.32,1.08,4.59,0.46,3.02,-0.14,2.04,-0.64,1.90,-0.15,1.43,0.09,1.95,0.41,3.81,-1.77,5.76,-0.77,7.27
Near surface wind speed,sfcWind,fraction,1.0061,0.4559,0.9981,0.4341,0.9386,0.3303,0.9802,0.3713,0.9943,0.4016,1.0530,0.3918,1.0079,0.3039,0.9970,0.2707,1.0021,0.3469,0.9487,0.3627,0.9981,0.4216,0.9943,0.4318
