# EC_Earth3 ssp126 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.18,2.25,1.99,2.39,1.38,3.23,2.22,3.95,2.99,4.82,3.30,4.11,3.26,3.23,2.27,2.68,2.43,2.90,2.54,3.42,1.67,2.89,1.62,3.06
Daily maximum near surface air temperature,tasmax,∆°C,1.22,2.24,1.80,2.78,1.43,4.66,2.42,5.22,3.34,5.99,3.74,4.82,3.53,3.72,2.38,3.00,2.65,3.39,2.87,4.22,1.57,4.07,1.47,3.10
Daily minimum near surface air temperature,tasmin,∆°C,1.11,2.74,2.20,2.77,1.34,2.18,1.96,2.81,2.57,3.61,2.74,3.50,2.96,2.79,2.18,2.37,2.27,2.57,2.16,2.86,1.74,2.47,1.70,3.35
Precipitation,pr,fraction,0.99,1.17,1.43,1.54,0.87,0.93,0.85,0.85,0.98,1.05,0.46,0.54,0.77,1.42,0.58,1.02,0.56,0.81,0.89,0.99,1.24,1.23,0.96,1.04
Surface downwelling shortwave radiation,rsds,∆W/m²,3.71,23.07,-1.90,28.64,8.07,45.65,14.71,43.29,14.73,40.71,19.28,30.20,6.82,19.21,5.57,12.35,5.00,18.05,9.00,25.07,0.67,20.52,1.47,20.52
Total cloud cover percentage,clt,∆%,-1.93,27.93,7.52,26.81,0.09,28.63,-4.92,22.72,-4.26,18.27,-6.66,18.47,-0.10,16.49,-4.50,15.92,-4.54,17.83,-6.32,21.38,-0.68,24.46,2.43,23.28
Snow depth,snd,fraction,0.15,0.35,0.25,0.63,9.67,264.39,0.10,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.46,1.00,0.17,0.25
Near surface specific humidity,huss,∆kg/kg,0.000454,0.001235,0.000849,0.001318,0.000527,0.001372,0.000425,0.001482,0.000608,0.001358,0.000234,0.001793,0.000392,0.001640,0.000851,0.001553,0.000802,0.001877,0.000846,0.002169,0.000682,0.001638,0.000772,0.001418
Air pressure at mean sea level,psl,∆hPa,-0.98,7.92,-1.40,7.98,0.85,7.57,0.44,4.09,-0.36,2.92,-0.02,1.88,-0.23,1.83,-0.82,1.91,0.19,1.90,1.08,3.78,-1.42,6.67,-0.64,6.53
Near surface wind speed,sfcWind,fraction,0.9505,0.4468,1.0371,0.4395,0.9741,0.4009,0.9873,0.3601,0.9682,0.3649,1.0128,0.3530,1.0203,0.2993,0.9920,0.2599,0.9887,0.3507,0.9469,0.3674,1.0257,0.4263,0.9758,0.4229
