# Ensemble ssp126 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,0.95,0.45,1.03,0.50,1.00,0.53,1.39,0.51,1.76,0.45,2.22,0.76,1.95,0.63,2.01,0.64,1.88,0.47,1.69,0.59,1.30,0.49,1.13,0.48
Daily maximum near surface air temperature,tasmax,∆°C,1.06,0.42,1.17,0.53,1.11,0.63,1.62,0.69,1.97,0.59,2.46,0.96,2.07,0.65,2.17,0.71,1.97,0.54,1.81,0.66,1.42,0.50,1.18,0.40
Daily minimum near surface air temperature,tasmin,∆°C,0.87,0.52,0.93,0.56,0.88,0.53,1.16,0.45,1.54,0.41,1.98,0.61,1.82,0.64,1.82,0.55,1.79,0.47,1.59,0.57,1.21,0.53,1.11,0.56
Precipitation,pr,fraction,1.01,0.22,0.95,0.18,0.98,0.31,0.89,0.18,0.91,0.26,0.78,0.26,0.80,0.38,0.89,0.46,0.90,0.21,0.92,0.15,0.94,0.21,1.07,0.22
Surface downwelling shortwave radiation,rsds,∆W/m²,3.41,3.18,4.55,4.25,5.51,5.28,10.12,5.24,8.20,6.76,9.24,4.87,4.24,3.71,4.08,3.36,4.59,3.86,4.22,3.06,3.64,3.81,2.41,3.81
Total cloud cover percentage,clt,∆%,-1.32,3.74,-1.61,3.76,-0.97,3.33,-3.61,2.63,-2.50,2.91,-2.64,2.64,-1.57,1.86,-2.19,2.16,-2.09,2.97,-2.25,2.34,-1.90,3.62,-0.70,2.80
Snow depth,snd,fraction,1.71,2.73,1.84,2.71,2.09,2.58,1.59,2.32,0.99,0.03,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.99,0.03,1.08,1.05,1.48,2.28
Near surface specific humidity,huss,∆kg/kg,0.000349,0.000236,0.000331,0.000270,0.000263,0.000267,0.000260,0.000297,0.000406,0.000404,0.000355,0.000437,0.000537,0.000379,0.000619,0.000381,0.000757,0.000432,0.000667,0.000441,0.000501,0.000322,0.000446,0.000285
Air pressure at mean sea level,psl,∆hPa,0.05,1.25,0.11,1.29,-0.18,1.23,0.18,0.80,-0.19,0.50,-0.38,0.26,-0.45,0.26,-0.65,0.41,-0.30,0.41,0.13,0.57,0.15,0.97,-0.14,0.85
Near surface wind speed,sfcWind,fraction,0.9908,0.0363,0.9774,0.0439,0.9779,0.0325,0.9832,0.0331,0.9938,0.0374,1.0027,0.0590,1.0089,0.0291,0.9897,0.0369,0.9779,0.0298,0.9697,0.0388,0.9671,0.0362,0.9965,0.0337
