# Monthly average difference between variables of two EPW files (last EPW variables minus the first EPW variables).
Variable,Unit,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ground Temperatures,∆°C,depth 0.5 m,1.73,1.70,1.42,1.39,1.46,1.56,1.82,2.02,2.12,2.18,2.14,1.94
Ground Temperatures,∆°C,depth 2.0 m,1.82,1.81,1.56,1.26,1.51,1.56,1.74,1.89,1.99,2.07,2.07,1.97
Ground Temperatures,∆°C,depth 4.0 m,1.85,1.86,1.66,1.30,1.59,1.60,1.71,1.81,1.88,1.97,1.98,1.93
N6 Dry Bulb Temperature,∆°C,-,1.2217,1.2504,1.3598,1.6590,2.0079,2.3325,2.3031,2.2173,2.2427,2.0401,1.5054,1.2393
N7 Dew Point Temperature,∆°C,-,1.1467,0.8726,0.9506,0.6537,0.7601,0.8833,0.9809,1.2564,1.3954,1.2380,1.2994,1.0086
N8 Relative Humidity,∆%,-,0.0221,-1.2016,-1.2757,-3.3026,-3.8756,-4.0094,-3.7401,-2.7538,-2.2498,-3.0815,-0.6657,-0.5355
N9 Atmospheric Station Pressure,∆Pa,-,3.5685,11.2222,10.1456,17.6694,-11.7752,-53.8068,-65.0441,-79.6189,-31.2964,4.6446,14.1102,-6.3870
N10 Extraterrestrial Horizontal Radiation,∆Wh/m²,-,0.7908,1.8247,2.2477,2.1791,1.3325,0.1609,0.2054,0.8125,1.1558,-1.5173,-1.2050,-0.2337
N11 Extraterrestrial Direct Normal Radiation,∆Wh/m²,-,-839.4739,-779.4841,-701.0877,-620.6866,-555.0066,-521.9962,-534.7519,-586.9283,-659.5240,-739.3381,-813.8645,-855.6825
N12 Horizontal Infrared Radiation Intensity,∆Wh/m²,-,11.7830,20.5925,14.8623,17.6319,19.4799,17.1087,18.2675,17.8650,14.9273,28.4933,18.1499,18.0189
N13 Global Horizontal Radiation,∆Wh/m²,-,2.4776,2.7303,5.2728,9.5747,9.2966,6.0487,3.2277,2.8938,4.2366,3.8244,3.0592,2.2766
N14 Direct Normal Radiation,∆Wh/m²,-,-14.7374,-11.8148,3.3625,14.7768,14.3498,9.3837,-8.4572,-3.0858,5.8797,1.5186,-2.7696,-8.9725
N15 Diffuse Horizontal Radiation,∆Wh/m²,-,7.8496,7.3163,1.4592,-2.1143,-5.5804,-5.1074,4.9570,1.5944,-2.8526,2.0513,4.8657,5.1442
N16 Global Horizontal Illuminance,∆lux,-,194.3088,265.7016,536.7595,877.9089,1023.3069,402.0043,416.9485,419.3863,395.8866,445.8582,297.7360,230.5784
N17 Direct Normal Illuminance,∆lux,-,-1531.9024,-1261.8346,377.8164,1543.2757,1793.5764,1306.4539,-812.3441,-179.4136,932.5995,191.3853,-490.0286,-845.7466
N18 Diffuse Horizontal Illuminance,∆lux,-,-5190.8602,-7170.0893,-9021.2366,-12295.5556,-12514.7849,-13466.5278,-11465.8602,-10804.8387,-10334.3056,-8234.8118,-5771.9444,-5048.1183
N19 Zenith Luminance,∆Cd/m²,-,161.2481,197.6894,54.1624,-104.6738,-339.7036,-526.2497,142.4980,37.3570,-120.9122,67.4843,104.3243,130.7856
N21 Wind Speed,∆m/s,-,-0.0130,-0.0118,-0.0430,-0.0125,0.0052,0.0300,0.0356,0.0239,-0.0129,-0.0571,-0.0892,-0.0117
N22 Total Sky Cover,∆deca,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N23 Opaque Sky Cover,∆deca,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N30 Snow Depth,∆cm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N33 Liquid Precipitation Depth,∆mm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
