# FGOALS_g3 ssp585 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.82,1.97,1.84,1.72,2.08,1.51,2.13,1.79,2.10,2.13,2.86,1.90,2.55,1.65,2.63,2.35,2.81,1.63,2.40,1.89,2.44,1.82,2.05,1.95
Daily maximum near surface air temperature,tasmax,∆°C,1.86,1.92,1.87,1.70,2.07,1.59,2.12,1.88,2.14,2.22,2.82,1.81,2.53,1.57,2.65,2.28,2.87,1.68,2.45,1.90,2.54,1.82,2.05,1.87
Daily minimum near surface air temperature,tasmin,∆°C,1.75,2.01,1.82,1.74,2.08,1.43,2.13,1.67,2.03,2.03,2.90,1.99,2.60,1.77,2.59,2.41,2.72,1.59,2.34,1.87,2.39,1.84,2.05,2.06
Precipitation,pr,fraction,0.97,0.93,0.76,0.76,0.59,0.56,1.01,1.02,0.85,0.80,0.84,0.65,1.00,0.69,0.94,0.68,0.76,0.60,0.71,0.65,0.86,0.78,0.72,0.56
Surface downwelling shortwave radiation,rsds,∆W/m²,0.05,18.26,8.91,21.64,13.99,34.49,14.22,32.43,12.37,33.60,17.66,33.29,2.74,27.33,1.11,24.70,2.94,21.89,4.32,20.25,3.79,16.05,4.56,16.05
Total cloud cover percentage,clt,∆%,1.04,12.63,-3.16,13.44,-0.97,15.63,-1.84,12.94,-1.03,15.92,-2.00,12.27,1.71,10.86,3.13,12.31,4.93,14.73,0.41,11.30,0.08,9.74,-0.93,10.72
Snow depth,snd,fraction,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Near surface specific humidity,huss,∆kg/kg,0.000890,0.001130,0.000870,0.001080,0.000879,0.001050,0.001089,0.001139,0.001169,0.001299,0.001859,0.001069,0.001948,0.001049,0.002179,0.001517,0.002348,0.001378,0.001629,0.001329,0.001409,0.001030,0.000980,0.001080
Air pressure at mean sea level,psl,∆hPa,-1.38,7.48,0.19,8.38,1.75,7.13,-0.41,6.28,0.11,4.10,-0.74,2.43,-1.04,1.42,-1.59,1.63,-0.37,3.20,0.14,4.00,0.54,6.21,0.59,5.71
Near surface wind speed,sfcWind,fraction,1.0068,0.4583,0.9256,0.4221,0.9762,0.3680,1.0115,0.4477,0.9925,0.4162,0.9695,0.4507,1.0183,0.4815,1.0164,0.5286,1.0495,0.4972,0.9412,0.3987,0.9407,0.4210,0.9240,0.3670
