# GFDL_ESM4 ssp370 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.15,3.04,0.96,2.71,1.73,2.75,2.27,2.56,1.99,3.46,2.68,2.93,1.99,3.39,2.53,2.14,2.17,3.23,1.96,2.98,1.06,2.17,1.75,2.94
Daily maximum near surface air temperature,tasmax,∆°C,1.35,2.97,1.73,3.22,2.04,3.22,2.82,3.01,2.23,3.96,2.93,3.51,2.01,3.87,2.49,2.37,2.12,3.76,2.20,3.90,1.45,2.27,1.81,2.48
Daily minimum near surface air temperature,tasmin,∆°C,0.95,3.41,0.32,2.66,1.48,2.83,1.72,2.44,1.80,2.96,2.55,2.35,2.10,2.91,2.58,1.93,2.26,2.80,1.73,2.30,0.71,2.47,1.62,3.59
Precipitation,pr,fraction,0.90,0.86,0.69,0.69,0.91,0.88,0.72,0.65,0.96,0.96,0.89,1.00,1.25,1.64,1.69,2.64,0.74,0.93,0.70,0.66,0.79,0.73,1.23,1.28
Surface downwelling shortwave radiation,rsds,∆W/m²,0.06,23.93,12.09,27.03,-1.76,36.41,14.87,37.32,1.73,37.51,-1.54,40.14,-8.27,28.13,-8.75,24.74,-5.75,29.14,3.90,29.50,7.29,20.79,-0.91,20.79
Total cloud cover percentage,clt,∆%,-2.04,27.30,-8.77,25.27,3.39,25.68,-8.51,22.14,-3.13,18.96,-0.72,19.06,2.04,16.58,0.80,17.88,1.74,19.55,-4.39,24.83,-5.55,21.52,2.38,26.60
Snow depth,snd,fraction,0.01,0.02,1.50,10.67,0.19,0.48,0.16,0.46,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.14,1.00,0.00,0.95
Near surface specific humidity,huss,∆kg/kg,0.000458,0.001490,0.000094,0.001246,0.000575,0.001342,0.000269,0.001263,0.000341,0.001651,0.000842,0.001923,0.000871,0.002047,0.001091,0.001665,0.000796,0.001874,0.000582,0.001752,0.000084,0.001251,0.000791,0.001521
Air pressure at mean sea level,psl,∆hPa,1.58,8.12,2.32,7.33,-0.15,6.84,1.11,4.91,-0.65,2.71,-0.36,2.13,-0.25,1.43,-0.91,1.51,0.02,2.31,1.19,3.94,0.22,6.76,-1.08,7.85
Near surface wind speed,sfcWind,fraction,0.9644,0.4526,0.9156,0.4010,0.9641,0.3812,0.9540,0.3554,0.9998,0.3802,0.9961,0.3507,0.9844,0.3386,0.9585,0.3181,0.9898,0.3551,0.9407,0.3755,0.9315,0.4365,1.0418,0.4860
