# GISS_E2_1_G ssp126 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.24,2.20,1.22,2.42,0.87,2.77,0.98,2.49,2.17,3.19,1.48,3.31,2.30,2.61,2.25,3.12,1.85,2.61,2.16,3.49,1.19,2.47,1.59,2.31
Daily maximum near surface air temperature,tasmax,∆°C,1.34,2.47,1.22,2.86,0.85,3.40,1.00,2.89,2.08,3.53,1.56,3.59,2.22,2.73,2.24,3.37,1.80,2.70,2.29,3.72,1.30,2.69,1.57,2.44
Daily minimum near surface air temperature,tasmin,∆°C,1.18,2.51,1.20,2.79,0.83,2.71,0.98,2.53,2.28,3.15,1.30,3.20,2.40,2.68,2.18,3.05,1.84,2.81,2.02,3.58,1.09,2.68,1.63,2.64
Precipitation,pr,fraction,1.09,1.04,1.04,1.10,1.22,1.27,0.89,0.91,1.21,1.32,0.95,1.26,0.70,0.90,0.66,0.82,1.00,1.10,0.74,0.74,1.03,1.04,1.00,0.98
Surface downwelling shortwave radiation,rsds,∆W/m²,4.49,20.50,1.89,31.89,3.16,36.42,5.92,39.97,-6.39,40.75,11.50,37.26,2.81,24.84,4.95,26.47,8.59,27.14,4.67,28.88,2.40,21.17,-1.20,21.17
Total cloud cover percentage,clt,∆%,-2.39,19.94,-2.63,23.06,-3.65,21.80,-5.04,20.16,0.49,19.03,-4.69,18.36,-2.52,13.41,-5.47,16.10,-6.76,18.79,-1.27,21.24,-4.21,17.93,-0.86,19.23
Snow depth,snd,fraction,0.94,0.96,8.35,0.95,0.92,0.93,0.93,0.96,0.91,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.91,1.00,0.91,0.91,0.92,0.94
Near surface specific humidity,huss,∆kg/kg,0.000570,0.001130,0.000517,0.001305,0.000401,0.001211,0.000343,0.001185,0.001285,0.001508,0.000614,0.001650,0.001203,0.001734,0.000874,0.001696,0.000983,0.001955,0.001254,0.002114,0.000743,0.001446,0.000864,0.001144
Air pressure at mean sea level,psl,∆hPa,-0.12,9.35,-0.91,7.10,-1.31,6.35,0.15,4.70,-0.85,2.43,-0.44,2.08,-0.56,1.68,-0.82,1.65,-0.58,1.87,-0.65,3.46,-0.14,5.67,-0.06,7.05
Near surface wind speed,sfcWind,fraction,1.0245,0.4275,0.9915,0.4254,0.9755,0.3795,1.0312,0.3660,0.9740,0.3307,0.9860,0.3358,0.9833,0.3553,0.9953,0.3499,0.9989,0.3857,0.9434,0.3836,0.9430,0.3604,0.9741,0.4002
