# GISS_E2_1_H ssp370 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.97,1.86,1.92,2.52,2.31,2.40,2.83,3.75,3.32,3.74,4.39,3.08,3.93,2.52,4.23,2.30,3.66,2.50,2.96,2.55,2.65,2.76,2.28,2.18
Daily maximum near surface air temperature,tasmax,∆°C,2.19,1.94,1.98,2.65,2.45,2.79,2.74,4.29,3.19,4.11,4.35,3.39,3.89,2.55,4.17,2.52,3.31,2.68,2.76,2.76,2.47,2.90,2.24,2.02
Daily minimum near surface air temperature,tasmin,∆°C,1.86,2.29,1.87,2.93,2.13,2.52,2.79,3.34,3.49,3.57,4.54,3.05,4.03,2.72,4.37,2.31,3.99,2.54,3.13,2.58,2.80,2.93,2.43,2.66
Precipitation,pr,fraction,0.89,0.90,0.84,0.80,0.69,0.68,0.75,0.80,0.96,1.24,0.73,0.77,0.47,0.53,0.32,0.37,0.77,0.86,0.74,0.77,0.87,0.82,0.82,0.80
Surface downwelling shortwave radiation,rsds,∆W/m²,7.57,22.36,3.75,33.03,10.61,37.21,8.27,41.10,-2.64,34.47,-0.14,33.50,0.82,22.12,6.92,19.12,-1.99,31.58,0.57,32.47,-2.13,23.52,-0.63,23.52
Total cloud cover percentage,clt,∆%,-9.02,19.54,-5.83,23.57,-8.34,23.29,-8.96,20.67,-4.51,16.81,-4.69,17.10,-3.22,13.28,-9.70,11.99,-3.88,18.92,-5.92,22.77,0.38,21.52,0.68,18.53
Snow depth,snd,fraction,0.03,0.92,0.93,0.95,0.91,0.92,0.94,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.91,0.91,0.91,0.91
Near surface specific humidity,huss,∆kg/kg,0.000710,0.001272,0.000669,0.001575,0.000602,0.001213,0.000810,0.001137,0.001157,0.001548,0.001619,0.001464,0.001397,0.001620,0.001474,0.001508,0.002202,0.001871,0.001451,0.001698,0.001369,0.001639,0.001031,0.001449
Air pressure at mean sea level,psl,∆hPa,0.88,7.70,-0.50,7.90,1.09,5.79,-0.51,3.91,-0.92,2.93,-1.28,2.03,-1.43,1.79,-1.58,1.74,-1.65,2.20,-0.49,3.89,-0.83,5.34,-0.38,6.77
Near surface wind speed,sfcWind,fraction,0.9846,0.3932,0.9651,0.4193,1.0277,0.3961,1.0512,0.4008,0.9949,0.3834,0.9592,0.3550,1.0039,0.3309,0.9808,0.3403,0.9314,0.3738,1.0115,0.4543,1.0387,0.4328,0.9954,0.4150
