# IPSL_CM6A_LR ssp585 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.51,2.33,1.29,2.32,1.28,2.24,1.77,3.09,2.77,3.30,2.14,3.65,2.45,3.32,3.38,2.60,3.03,2.83,2.26,2.64,1.89,2.03,1.44,2.48
Daily maximum near surface air temperature,tasmax,∆°C,2.04,2.63,1.75,3.18,1.81,3.10,2.48,4.20,3.32,4.45,2.31,4.59,2.62,3.88,3.75,2.88,3.31,3.30,2.52,3.40,2.52,2.66,1.81,2.93
Daily minimum near surface air temperature,tasmin,∆°C,1.22,2.63,0.95,2.30,0.85,2.12,1.09,2.28,2.24,2.47,2.08,2.95,2.41,3.08,3.13,2.68,2.92,2.64,2.11,2.32,1.44,2.24,1.19,2.71
Precipitation,pr,fraction,0.69,0.73,0.63,0.74,0.64,0.69,0.50,0.52,0.67,0.79,1.06,1.47,0.46,0.65,1.13,1.97,0.38,0.55,0.60,0.79,0.34,0.38,0.65,0.70
Surface downwelling shortwave radiation,rsds,∆W/m²,5.56,27.43,11.68,39.64,12.66,42.39,21.80,49.93,16.79,50.95,-0.18,40.13,0.46,20.31,-3.18,13.73,6.33,25.77,3.54,29.55,11.00,28.42,5.78,28.42
Total cloud cover percentage,clt,∆%,-7.33,23.28,-10.19,31.06,-9.18,24.30,-11.99,25.47,-10.67,23.43,-3.37,19.16,-1.86,11.19,-1.33,8.66,-7.31,15.25,-7.01,22.39,-10.67,24.85,-6.96,26.70
Snow depth,snd,fraction,0.49,0.49,0.50,0.51,0.64,0.64,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.92,1.18
Near surface specific humidity,huss,∆kg/kg,0.000506,0.001219,0.000199,0.001165,0.000008,0.001166,-0.000044,0.001076,0.000423,0.001213,0.000632,0.001802,0.000792,0.002221,0.001290,0.001959,0.001196,0.001599,0.000788,0.001401,0.000497,0.001349,0.000495,0.001400
Air pressure at mean sea level,psl,∆hPa,1.67,8.45,1.26,9.17,0.36,6.75,2.32,5.15,-0.53,3.90,-1.31,2.29,-1.24,2.20,-1.63,1.99,-1.13,2.17,-0.21,3.95,1.70,6.25,0.99,7.64
Near surface wind speed,sfcWind,fraction,0.9467,0.4579,0.9402,0.4748,0.9708,0.4393,0.9204,0.4475,0.9516,0.3548,0.9941,0.3897,1.0092,0.4371,0.9460,0.4043,0.9804,0.3760,0.9569,0.4444,0.9010,0.4029,0.9565,0.4825
