# MIROC6 ssp370 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.70,2.15,2.37,2.23,2.64,3.29,3.20,3.87,4.12,4.72,4.65,4.24,3.27,3.12,3.24,2.57,4.92,3.14,3.53,3.67,2.13,2.79,1.71,2.11
Daily maximum near surface air temperature,tasmax,∆°C,1.97,2.47,2.91,2.79,3.26,4.78,4.16,5.54,5.20,6.35,5.61,5.10,3.79,3.60,3.60,2.96,5.90,3.93,4.09,5.00,2.37,3.66,1.93,2.08
Daily minimum near surface air temperature,tasmin,∆°C,1.54,2.40,1.98,2.41,2.17,2.53,2.49,2.70,3.24,3.46,4.00,3.46,2.93,2.75,3.09,2.32,4.28,2.59,3.19,2.90,2.04,2.55,1.65,2.52
Precipitation,pr,fraction,0.80,0.88,0.68,0.71,0.87,0.81,0.62,0.61,0.57,0.66,0.27,0.34,0.56,0.69,0.71,0.86,0.24,0.30,0.70,0.71,0.96,1.00,0.96,1.01
Surface downwelling shortwave radiation,rsds,∆W/m²,3.71,29.27,7.67,36.13,6.90,40.91,13.45,43.55,16.89,36.84,10.44,23.30,5.17,24.60,-0.63,27.42,11.27,19.36,5.14,28.25,3.30,21.74,1.25,21.74
Total cloud cover percentage,clt,∆%,-2.67,26.22,-4.63,27.23,-4.54,21.14,-5.20,18.31,-6.86,14.22,-3.54,9.72,-3.64,11.16,-3.48,11.10,-9.51,9.84,-5.39,17.99,-3.39,19.45,-2.21,25.12
Snow depth,snd,fraction,0.86,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Near surface specific humidity,huss,∆kg/kg,0.000564,0.001444,0.000496,0.001784,0.000424,0.001737,0.000291,0.001629,-0.000008,0.001430,0.000400,0.001642,0.000654,0.001764,0.001023,0.001704,0.000606,0.002033,0.000487,0.001546,0.000616,0.001931,0.000483,0.001736
Air pressure at mean sea level,psl,∆hPa,0.50,7.65,1.65,6.34,0.53,4.56,0.30,3.13,-0.11,2.24,-0.99,1.74,-0.59,1.74,-1.05,1.65,-0.59,1.85,-0.34,2.68,-0.17,4.85,0.42,7.16
Near surface wind speed,sfcWind,fraction,0.9329,0.3926,0.9609,0.3736,1.0122,0.3663,0.9895,0.3613,1.0492,0.3551,1.0699,0.3732,1.1083,0.4200,1.0611,0.3725,1.0243,0.3794,1.0259,0.4310,0.9435,0.4206,0.9379,0.4251
