# MIROC_ES2H ssp245 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.11,2.25,0.68,2.12,1.00,2.64,2.04,3.93,2.58,4.80,3.37,4.09,3.64,3.81,2.20,3.30,2.36,3.47,1.73,3.11,1.15,2.33,0.51,2.24
Daily maximum near surface air temperature,tasmax,∆°C,1.33,2.16,1.18,2.45,1.22,4.14,2.91,5.69,3.56,6.79,4.17,5.37,4.30,4.46,2.40,3.93,3.09,4.49,1.96,4.58,1.55,3.22,0.89,2.22
Daily minimum near surface air temperature,tasmin,∆°C,1.02,2.67,0.36,2.40,0.81,2.18,1.37,2.81,1.76,3.25,2.66,3.03,3.02,3.21,2.04,2.77,1.79,2.80,1.57,2.45,0.86,2.23,0.30,2.59
Precipitation,pr,fraction,0.90,0.91,0.74,0.74,0.91,0.88,0.77,0.71,0.59,0.64,0.46,0.63,0.54,0.66,0.95,1.15,0.37,0.39,1.00,1.01,0.90,0.88,0.88,0.84
Surface downwelling shortwave radiation,rsds,∆W/m²,4.13,25.60,8.38,37.08,0.52,47.32,14.02,40.01,20.82,50.04,8.86,40.99,8.43,23.41,-0.45,24.27,12.34,22.72,0.50,30.05,5.94,25.80,6.83,25.80
Total cloud cover percentage,clt,∆%,-3.47,23.88,-4.74,25.61,1.18,24.07,-5.81,17.13,-5.99,17.48,-2.06,14.66,-3.56,9.73,-0.23,10.32,-5.25,11.65,-0.37,18.28,-4.70,21.51,-6.19,20.61
Snow depth,snd,fraction,0.90,1.00,0.09,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.90,1.00
Near surface specific humidity,huss,∆kg/kg,0.000168,0.001461,-0.000169,0.001453,0.000210,0.001705,-0.000113,0.001423,-0.000407,0.001562,-0.000244,0.002021,-0.000208,0.001676,0.000337,0.001648,-0.000128,0.001545,0.000264,0.001759,-0.000062,0.001606,-0.000171,0.001435
Air pressure at mean sea level,psl,∆hPa,1.01,7.12,0.86,7.90,0.17,5.17,0.52,3.40,-0.15,2.13,-0.48,2.10,-0.57,1.56,-0.68,1.33,-0.18,1.85,-0.42,3.19,0.78,5.38,0.77,7.52
Near surface wind speed,sfcWind,fraction,1.0051,0.4435,0.9667,0.4227,0.9679,0.4150,0.9848,0.3696,1.0560,0.3827,1.0556,0.3937,1.0428,0.3717,1.0652,0.3585,1.0237,0.3430,1.0199,0.3881,1.0285,0.4604,0.9620,0.4456
